mmsi,imo,name,callsign,type,type_specific,country_iso,length,breadth,draught_max,gross_tonnage,deadweight,teu,year_built,speed_max
209744000,9568067,PEACE,5BHJ6,Cargo,Bulk Carrier,CY,291.8,45.0,17.6,91971.0,175858.0,,2010,15.0
210054000,9623831,SANDPIPER,5BQD3,Cargo,Bulk Carrier,CY,190.0,32.0,7.2,32839.0,58000.0,,2012,14.0
210060000,9236614,ETYFA PROMETHEAS,5BPG5,Tanker,Floating Storage or Production,CY,290.0,46.28,,111459.0,72781.0,,2002,102.0
210115000,9278648,OCEAN GLORY,C4MC2,Cargo,Bulk Carrier,CY,178.03,28.0,7.3,21185.0,35552.0,,2003,14.0
210154000,9401271,GFS GALAXY,5BWV6,Cargo - Hazard B,Container Ship,CY,304.12,40.05,14.0,75604.0,87791.0,6500.0,2009,22.0
210213000,,BALDUR,5BLE4,Dredger,Dredger,CY,73.0,19.0,,,,,,
210245000,9051014,PEARL RIVER,P3JL7,Dredger,Suction Dredger,CY,182.22,28.0,6.0,20881.0,17947.0,,1994,18.0
210325000,9944637,STENA PROVIDENT,5BWP5,Tanker,Oil or Chemical Tanker,CY,183.2,32.0,,30344.0,49900.0,,2023,
210390000,9457452,PRINCESS NATALIE,5BYR5,Tanker,Crude Oil Tanker,CY,333.08,60.0,11.1,162203.0,320261.0,,2011,15.0
210496000,9898761,SEABRILLIANCE,5BKZ6,Cargo,Bulk Carrier,CY,299.88,50.0,9.5,109534.0,210000.0,,2020,15.0
210497000,9676204,CAPE SYROS,5BGG4,Cargo,Container Ship,CY,184.84,30.05,9.9,25165.0,25332.0,2190.0,2015,20.0
210601000,9571301,MSC NEW JERSEY III,5BNY6,Cargo,Container Ship,CY,212.51,32.23,10.1,35708.0,41636.0,2758.0,2011,19.0
210615000,1060136,GALLIA GRAECA II,5BWM6,Cargo,Bulk Carrier,CY,229.0,32.0,,,,,2025,
210752000,9420564,JOHN JUNIOR,5BZS6,Cargo,Bulk Carrier,CY,295.0,46.0,18.3,94921.0,182425.0,,2009,16.0
210761000,9314129,SALT LAKE CITY,C4DS2,,,,,,,,,,,
210810000,9715830,FILOSOFIA SB,5BLV6,Cargo,Bulk Carrier,CY,198.0,32.29,13.2,34229.0,60935.0,,2015,16.0
210815000,9393589,AAL GUNSAN,5BAW3,Cargo,Heavy Lift Vessel,CY,159.8,27.89,7.3,19128.0,25747.0,1612.0,2010,17.0
210824000,9334519,MSC ZAINA III,5BLZ6,Cargo,Container Ship,CY,213.0,32.2,11.7,28270.0,32971.0,2646.0,2006,20.0
211102190,,JASINA,DK3465,Sailing Vessel,Sailing Vessel,DE,10.0,3.0,,,,,,5.0
211120000,9540132,HANOI EXPRESS,DFYX2,Cargo,Container Ship,DE,,,,,,,2023,
211151710,9943918,WILHELMSHAVEN EXPRES,DDQP2,Cargo - Hazard A (Major),Container Ship,DE,399.9,61.0,,,,,,
211216190,,PANGAEA,DA8769,Sailing Vessel,Sailing Vessel,DE,19.0,5.0,,,,,2003,10.0
211240420,,LOLA 2,DC5814,Sailing Vessel,Sailing Vessel,DE,14.0,8.0,,,,,,
211308290,,SAMBA SI,DB6388,Sailing Vessel,Sailing Vessel,DE,14.0,4.0,,17.0,,,1999,10.0
211325810,,BRIGHT STAR,DJ6963,Sailing Vessel,Sailing Vessel,DE,14.0,7.0,,,,,,8.0
211422510,9255490,SEARAY,DEEV,Tanker,Oil Products Tanker,DE,177.69,28.09,7.0,21329.0,32310.0,,2004,17.0
211822000,9352298,SEACONGER,DEJY,Tanker,Oil Products Tanker,DE,177.75,28.1,6.8,21329.0,32200.0,,2005,17.0
211888740,,SAMSARA,DG7905,Sailing Vessel,Sailing Vessel,DE,16.0,8.0,,,,,,
212031000,9383481,ANL BURRUP TRADER,5BEN2,Cargo,General Cargo,CY,117.0,19.7,5.5,5338.0,7665.0,629.0,2008,14.0
212352000,9334349,MSC LILOU III,C4TB2,Cargo,Container Ship,CY,220.32,32.31,10.9,35824.0,42154.0,3091.0,2007,22.0
212433000,9626261,NORDLEOPARD,5BEM4,Cargo,Container Ship,CY,169.93,28.14,8.6,18826.0,23575.0,1700.0,2015,21.0
212505000,9579030,STENA SUPERIOR,5BRM6,Tanker,Crude Oil Tanker,CY,274.0,48.0,9.2,81232.0,159000.0,,2011,16.0
212608000,9664873,NAVIOS JOY,5BQW6,Cargo,Bulk Carrier,CY,291.98,45.0,8.5,93034.0,181215.0,,2013,15.0
212680000,9650626,AENEAS,5BSS6,Cargo,Bulk Carrier,CY,225.0,32.26,14.2,41104.0,75200.0,,2013,102.0
212714000,9363364,VANCOUVER,C4ZL2,Cargo - Hazard A (Major),Container Ship,CY,260.04,32.3,8.5,40030.0,50632.0,4253.0,2007,24.0
212807000,1025552,NORDSERAPHINA,5BTR6,Cargo,Container Ship,CY,172.09,27.55,,,,,,
215041985,,KERAPU,KRP812,Military Ops,Military Ops,MT,57.0,7.0,,,,,,
215137000,9780897,CMA CGM J.MADISON,9HA4975,Cargo - Hazard A (Major),Container Ship,MT,366.0,48.2,14.7,141950.0,147966.0,14360.0,2018,21.0
215141000,9350393,CMA CGM CORAL,9HA4979,Cargo - Hazard C (Minor),Container Ship,MT,280.0,32.2,11.2,49810.0,62214.0,4400.0,2008,22.0
215164000,9410727,CMA CGM ANDROMEDA,9HA4989,Cargo - Hazard A (Major),Container Ship,MT,363.0,45.6,10.3,131332.0,128550.0,11400.0,2009,22.0
215197000,9780847,CMA CGM G.WASHINGTON,9HA5003,Cargo,Container Ship,MT,365.96,48.2,13.9,141950.0,149083.0,14360.0,2017,22.0
215331000,9839909,CMA CGM ARGENTINA,9HA5066,Cargo,Container Ship,MT,366.0,51.0,12.3,149314.0,157076.0,15052.0,2019,23.0
215347000,9839923,CMA CGM PANAMA,9HA5074,Cargo,Container Ship,MT,366.0,51.11,12.7,172000.0,157000.0,14855.0,2019,22.0
215381000,9443059,EXPRESS BLACK SEA,9HA2713,Cargo - Hazard B,Container Ship,MT,222.54,32.26,11.7,35595.0,44012.0,3459.0,2011,21.0
215401000,9431381,AFRA ROSSI,9HA5092,Tanker - Hazard D (Recognizable),Crude Oil Tanker,MT,250.0,44.04,14.5,63304.0,115830.0,,2010,16.0
215524000,9851787,QOGIR,9HA5159,Tanker,LNG Tanker,MT,,,11.7,116000.0,88000.0,,2020,20.0
215669000,9862906,ARISTIDIS I,9HA5237,Tanker,LNG Tanker,MT,299.01,46.4,11.4,116581.0,93368.0,,2021,21.0
215857000,9702156,CMA CGM BOUGAINVILLE,9HA5334,Cargo - Hazard A (Major),Container Ship,MT,398.0,54.0,,177381.0,186528.0,17554.0,2015,22.0
215880000,9280639,CMA CGM ROSSINI,9HA5347,Cargo - Hazard A (Major),Container Ship,MT,277.28,40.0,14.1,65247.0,73235.0,5770.0,2004,22.0
215945000,9511246,AP JADRAN,9HA5388,Cargo,Bulk Carrier,MT,229.0,32.3,14.6,43717.0,79335.0,,2012,102.0
215988000,9890965,SEADUKE,9HA5404,Tanker,Crude Oil Tanker,MT,339.36,60.05,,160255.0,313051.0,,2021,15.0
218058200,,MOANA,DJ9458,Sailing Vessel,Sailing Vessel,DE,,,,,,,,
218566000,9613018,LUDWIGSHAFEN EXPRESS,DDOR2,Cargo - Hazard D (Recognizable),Container Ship,DE,366.52,48.35,14.5,143262.0,142035.0,13000.0,2014,102.0
218643000,9290567,SANTA LORETTA,DFDH2,Cargo - Hazard A (Major),Container Ship,DE,336.68,45.65,10.6,107849.0,110860.0,9200.0,2005,24.0
219019094,9619969,MARIBO MAERSK,OWJJ2,Cargo - Hazard A (Major),Container Ship,DK,399.2,59.0,13.3,194849.0,213971.0,18270.0,2014,24.0
219027760,9885142,NORDBORG MAERSK,OYJB2,Cargo - Hazard D (Recognizable),Container Ship,DK,172.0,32.0,,26255.0,27538.0,2208.0,2021,19.0
219028937,,NORR,XPH7434,Pleasure Craft,Pleasure Craft,DK,15.0,4.0,,,,,,10.0
219030707,9667497,STENA IMPORTANT,OZWP2,Tanker,Oil or Chemical Tanker,DK,183.0,32.0,8.3,29666.0,49731.0,,2015,18.0
219031000,9458092,MAERSK ESSEX,OXSQ2,Cargo - Hazard A (Major),Container Ship,DK,366.44,48.26,13.7,141716.0,142105.0,13100.0,2011,24.0
219031348,,CLEO,XPI2636,Pleasure Craft,Pleasure Craft,DK,14.0,8.0,,,,,,
219032574,,NEPTUN,OUNU,Sailing Vessel,Sailing Vessel,DK,22.0,6.0,,,,,,
219036000,9780457,MURCIA MAERSK,OWTB2,Cargo - Hazard A (Major),Container Ship,DK,,,16.1,214286.0,210019.0,19630.0,2018,23.0
219039000,9780471,MUMBAI MAERSK,OWNQ2,Cargo - Hazard A (Major),Container Ship,DK,,,12.3,214286.0,210019.0,19630.0,2018,23.0
219085000,9425382,SANTA RITA,OXCR2,Cargo,Container Ship,DK,299.9,42.92,13.1,85676.0,93404.0,7114.0,2011,23.0
219198000,9458078,MAERSK ELBA,OYHL2,Cargo,Container Ship,DK,366.44,48.27,14.1,141716.0,148723.0,13100.0,2011,25.0
219199000,9458030,MAERSK EDMONTON,OYHV2,Cargo - Hazard A (Major),Container Ship,DK,366.47,48.27,15.0,141716.0,148723.0,13100.0,2011,23.0
219270000,9849992,TORM ELISE,OXPZ2,Tanker,Oil or Chemical Tanker,DK,228.4,38.03,,46000.0,75000.0,,2020,17.0
219415000,9465980,TORM ALMENA,OZGQ2,Tanker,Oil or Chemical Tanker,DK,183.2,32.23,11.7,30302.0,49999.0,,2010,15.0
219445000,9543550,TORM ANABEL,OZFB2,Tanker,Oil or Chemical Tanker,DK,183.3,32.33,11.7,30302.0,49999.0,,2012,17.0
219502000,9577068,TORM EVOLVE,OZEG2,Tanker,Crude Oil Tanker,DK,228.48,32.24,8.2,42208.0,74554.0,,2011,16.0
219640000,9692337,TORM DAGNY,OVQF2,Tanker,Oil or Chemical Tanker,DK,183.0,32.2,11.6,29327.0,49635.0,,2015,18.0
219641000,9682370,TORM DAMINI,OVQB2,Tanker,Oil or Chemical Tanker,DK,183.06,32.2,9.2,29553.0,49746.0,,2014,15.0
219692000,9961829,ARTHUR MAERSK,OZFP2,Cargo - Hazard A (Major),Container Ship,DK,351.0,54.0,,,,,2025,
219718000,9984584,BANGKOK MAERSK,OUZC2,Cargo - Hazard A (Major),Container Ship,DK,,,,,,,,
219773000,9712876,TORM HEDWIG,OUTO2,Tanker,Crude Oil Tanker,DK,249.99,44.03,14.7,64245.0,109999.0,,2016,15.0
219854000,9778844,MARSEILLE MAERSK,OWPU2,Cargo - Hazard D (Recognizable),Container Ship,DK,399.0,58.6,16.2,214286.0,210019.0,19630.0,2018,22.0
220008000,9215191,JOSEPHINE MAERSK,OWKF2,Cargo,Container Ship,DK,216.3,32.3,11.1,30166.0,35082.0,2833.0,2002,18.0
222068694,,LD DAI LOI C6 P5 82,,,Unspecified,,,,,,,,,
222068695,,LD DAI LOI C6 P8 84,,,Unspecified,,,,,,,,,
222205005,,LUOI CHA77 D7GAT 99,,,Unspecified,,30.0,3.0,,,,,,
222643062,,RGE HIEP HOA B29.82,,,Unspecified,,,,,,,,,
224308101,,YUESHANTOU4052 72,,,Unspecified,ES,10.0,3.0,,,,,,
225372000,9338797,SESTAO KNUTSEN,ECBK,Tanker - Hazard D (Recognizable),LNG Tanker,ES,284.38,42.5,9.5,90478.0,77204.0,,2007,19.0
227553080,,AMARYLLIS II,FGD2864,Sailing Vessel,Sailing Vessel,FR,15.0,8.0,,,,,,10.0
227822760,,SAMARA II,FAE8879,Sailing Vessel,Sailing Vessel,FR,12.0,6.0,,,,,,0.0
227845560,,HELLO WORLD,FAF3250,Sailing Vessel,Sailing Vessel,FR,15.0,8.0,,,,,,8.0
228018600,9009310,ILE D AIX,FICI,Other,Cable Layer,FR,151.14,21.6,,12384.0,7776.0,,1992,14.0
228181840,,SOLARIS,FAK4892,Sailing Vessel,Sailing Vessel,FR,14.0,8.0,,,,,,
228300140,,FULI,FAL9868,Sailing Vessel,Sailing Vessel,FR,,,,,,,,
228459700,9938171,CMA CGM LAGUNA,FMYQ,Cargo - Hazard A (Major),Container Ship,FR,,,,,,,2024,
228459800,9938157,CMA CGM MAUI,FMYR,Cargo - Hazard A (Major),Container Ship,FR,,,,,,,2024,
228459900,9938169,CMA CGM BIG SUR,FMYS,Cargo - Hazard A (Major),Container Ship,FR,,,,,,,2024,
228465700,9980540,ELISA ARDEA,FMZP,Tanker,LNG Tanker,FR,298.0,46.0,,,,,2024,
228468900,9966764,CMA CGM FORT JAMES,FNAC,Cargo,Container Ship,FR,268.01,43.2,,,,,2024,
228475900,1029297,ECOMAR GIRONDE,FNXM,Tanker,Oil or Chemical Tanker,FR,182.99,32.0,,,,,,
229082000,9902512,SEATEAM,9HA5441,Tanker,LPG Tanker,MT,180.0,28.4,,25357.0,28096.0,,2022,18.0
229129000,9321732,MILAHA QATAR,9HA3092,Tanker - Hazard D (Recognizable),LNG Tanker,MT,283.0,43.0,9.8,96508.0,77803.0,,2006,22.0
229130000,9255854,MILAHA RAS LAFFAN,9HA3093,Tanker,LNG Tanker,MT,278.85,42.63,10.3,93226.0,73705.0,,2004,20.0
229146000,9598787,IOLCOS COMMANDER,9HA3105,Cargo,Bulk Carrier,MT,225.0,32.3,14.2,41254.0,76094.0,,2013,15.0
229178000,9597020,BALI,9HA3131,Cargo,Bulk Carrier,MT,229.0,32.25,13.0,44229.0,81259.0,,2012,16.0
229387000,9587257,HUAHINE,9HA3291,Cargo,Bulk Carrier,MT,299.92,50.0,7.5,107129.0,206037.0,,2013,17.0
229394000,9694555,CMA CGM LEKKI,9HA5484,Cargo - Hazard D (Recognizable),Container Ship,MT,255.0,37.3,,51872.0,65157.0,5400.0,2014,22.0
229622000,9484479,MSC TRIESTE,9HA3459,Cargo - Hazard A (Major),Container Ship,MT,365.81,48.46,15.9,143521.0,154663.0,13050.0,2011,22.0
229657000,9625281,SAN PEDRO,9HA3492,Cargo - Hazard A (Major),Container Ship,MT,171.98,27.4,9.6,16880.0,21736.0,1715.0,2014,19.0
229800000,9686314,SEAFARER,9HA3621,Cargo,Bulk Carrier,MT,292.0,45.0,10.9,94542.0,181110.0,,2014,17.0
229859000,9288461,LUCKY EFFIE,9HA3669,Cargo,Bulk Carrier,MT,225.0,32.26,7.4,39964.0,76498.0,,2005,17.0
231912000,9679036,THOR MODI,OZ2227,Cargo,Research or Survey Vessel,FO,64.4,14.5,5.5,2089.0,1750.0,,2015,14.0
232005179,9626314,RESOLUTE BAY,MAII7,Cargo,Bulk Carrier,GB,186.4,27.8,10.6,22664.0,36798.0,,2012,102.0
232006301,9766530,BRITISH PARTNER,MAOS2,Tanker,LNG Tanker,GB,295.0,46.44,10.0,115366.0,94442.0,,2018,23.0
232009095,,FOXY KITTY,MBHM5,Sailing Vessel,Sailing Vessel,GB,16.0,7.0,,,,,2003,10.0
232016910,9738868,BERGE MAWSON,MDNH4,Cargo,Bulk Carrier,GB,291.98,45.0,18.5,92732.0,181160.0,,2015,15.0
232019341,9303730,VS LEIA,MEIE8,Tanker,Oil Products Tanker,GB,183.0,27.43,7.2,24048.0,38461.0,,2006,15.0
232019873,9803364,ORANGE VICTORIA,MEMO8,Tanker,Oil or Chemical Tanker,GB,228.99,38.04,8.5,45642.0,77430.0,,2019,16.0
232026709,9252307,VS REMLIN,MGYO8,Tanker - Hazard A (Major),Oil Products Tanker,GB,171.0,27.43,7.0,22184.0,34530.0,,2003,14.0
232027081,9891440,ENERGY ATHENA,MHCJ3,Tanker,Oil or Chemical Tanker,GB,182.9,32.2,,29597.0,49812.0,,2021,16.0
232039445,,COOMERA,MKMK3,Pleasure Craft,Pleasure Craft,GB,13.0,4.0,,,,,,0.0
232040362,,NAVASANA,MKVJ5,Sailing Vessel,Sailing Vessel,GB,14.0,7.0,,,,,,10.0
232041807,,UNDER CONTROL 3,MLKY4,Pleasure Craft,Pleasure Craft,GB,,,,,,,,32.0
232043185,,TIGRESS,,Sailing Vessel,Sailing Vessel,GB,14.0,8.0,,,,,,
232045094,,FLODO,MMSP2,Sailing Vessel,Sailing Vessel,GB,16.0,4.0,,,,,2014,
232045522,,P420F,MMXI2,Pleasure Craft,Pleasure Craft,GB,13.0,5.0,,,,,,
232045947,,OMIRIS,MNBQ2,Sailing Vessel,Sailing Vessel,GB,20.0,6.0,,,,,,
232046110,1040801,KAHALA,MNDH8,Pleasure Craft,Yacht,GB,40.0,8.0,,,,,2023,
232046830,,CYGNUS CYGNUS,MNJO3,Sailing Vessel,Sailing Vessel,GB,20.0,9.0,,,,,,
232048357,,SWIZZLE,MCOS5,Sailing Vessel,Sailing Vessel,GB,11.0,3.0,,,,,,
232049049,,MARCO POLO,MOAU4,Pilot Vessel,Pilot Vessel,GB,15.0,2.0,,,,,,
232051435,,BEAUTE,MOLN8,Pleasure Craft,Pleasure Craft,GB,36.0,8.0,,,,,,
232051499,,MY TRIGGER,MOLV8,Pleasure Craft,Pleasure Craft,GB,18.0,6.0,,,,,,
232054145,,HESED,MOYC2,Pleasure Craft,Pleasure Craft,GB,,,,,,,,
232054630,,CLOUD 9,MPAR9,Pleasure Craft,Pleasure Craft,GB,21.0,10.0,,,,,,
232057588,,NINA CHARLOTTE,MRCF2,Pleasure Craft,Pleasure Craft,GB,12.0,4.0,,,,,,
232058691,,HYPERGAMY,MRKK9,Pleasure Craft,Pleasure Craft,GB,16.0,9.0,,,,,,
232059936,,NIRUP EXPLORER,MRTE6,Pleasure Craft,Pleasure Craft,GB,,,,,,,,
232061026,,BLACK ROSE,MSAX7,Sailing Vessel,Sailing Vessel,GB,14.0,4.0,,,,,,
232063029,9381691,SEEKER TIDE,MSPN4,Cargo,Multi Purpose Offshore Vessel,GB,93.0,21.0,4.7,4755.0,5200.0,,2008,12.0
232064296,9631395,PACIFIC DILIGENCE,MSY07,Tug,Anchor Handling Vessel,GB,92.0,22.0,6.2,6641.0,4512.0,,2013,9.0
232064429,,NOAH,MSZN8,Pleasure Craft,Pleasure Craft,GB,23.0,12.0,,,,,,
232064941,9809813,PARAGON SENTINEL,MTCO7,Other,Multi Purpose Offshore Vessel,GB,60.0,16.0,,,,,2024,
232065668,1109114,MO16,MTGM6,,,,,,,,,,,
232065669,,,,,,,,,,,,,,
233010664,,LD P6 98 95,,,Unspecified,GB,10.0,10.0,,,,,,
235009280,,BRUNOS GIRL,MAPN6,Sailing Vessel,Sailing Vessel,GB,,,,,,,,0.0
235024595,,NOJOKIN,MHGG3,Pleasure Craft,Pleasure Craft,GB,12.0,4.0,,,,,,17.0
235050012,9300491,AQUITANIA,MADG,Cargo,Bulk Carrier,GB,189.99,32.26,6.3,31238.0,55932.0,,2006,16.0
235051355,,CALAGORM,MHTF,Sailing Vessel,Sailing Vessel,GB,16.0,7.0,,,,,,8.0
235060034,,RHUMB DO,2WMH,Sailing Vessel,Sailing Vessel,GB,11.0,3.0,,8.0,,,1977,0.0
235074589,9398694,CITIUS,2COY3,Cargo,Bulk Carrier,GB,287.0,45.0,8.9,88479.0,170923.0,,2010,15.0
235082002,,SUSAN MARGARET,2DTU4,Sailing Vessel,Sailing Vessel,GB,13.0,4.0,,,,,,6.0
235083281,,LARUS,MASQ6,Sailing Vessel,Sailing Vessel,GB,13.0,4.0,,,,,1979,7.0
235083838,,BURASARI,2EBZ4,Sailing Vessel,Sailing Vessel,GB,14.0,4.0,,,,,,5.0
235091564,,NAKHUDA,9M2330,Sailing Vessel,Sailing Vessel,GB,886.0,27.0,,,,,,
235104052,,NAUPLIOS,2HJB3,Sailing Vessel,Sailing Vessel,GB,,,,,,,,7.0
236111677,,MANTRA,ZDJZ4,Other,Other,GI,26.0,7.0,,,,,,0.0
236111939,,APHRODITE,ZDNI7,Sailing Vessel,Sailing Vessel,GI,28.0,6.0,,,,,,
236403000,7824883,FUGRO GAUSS,ZDIA4,Other,Research or Survey Vessel,GI,68.68,13.12,5.0,1684.0,577.0,4.0,1980,10.0
237110600,8736291,CARMEN SERENA,9M2123,Pleasure Craft,Yacht,GR,39.5,8.0,2.5,292.0,34.0,,1993,0.0
238446840,,AMAZON,9AA4925,Sailing Vessel,Sailing Vessel,HR,16.0,5.0,,,,,2007,9.0
240386000,9302499,MARAN GAS ASCLEPIUS,SVMN,Tanker,LNG Tanker,GR,285.4,43.44,9.2,97496.0,84659.0,,2005,20.0
240615000,9324435,AL JASSASIYA,SVCC,Tanker,LNG Tanker,GR,285.4,43.3,11.1,97496.0,84554.0,,2007,20.0
241162000,9513115,ARAGONA,SVBM3,Tanker,Crude Oil Tanker,GR,333.0,60.04,11.0,158970.0,319319.0,,2012,18.0
241211000,9588316,FIGALIA PRUDENCE,SVBN2,Cargo,Bulk Carrier,GR,229.07,32.31,7.8,44668.0,81498.0,,2012,15.0
241254000,9627485,WOODSIDE ROGERS,SVBS6,Tanker,LNG Tanker,GR,294.2,44.03,0.4,103928.0,90327.0,,2013,21.0
241255000,9593191,MARAN CLEO,SVBS7,Tanker,Crude Oil Tanker,GR,333.0,60.0,11.3,164364.0,314183.0,,2013,15.0
241289000,9650042,MARAN GAS SPARTA,SVBW4,Tanker,LNG Tanker,GR,289.0,45.6,9.6,105773.0,90392.0,,2015,20.0
241299000,9628946,UNION VOYAGER,SVBX2,Cargo,Bulk Carrier,GR,229.0,32.29,8.9,44647.0,81964.0,,2014,16.0
241325000,9421427,MARAN THETIS,SVBZ4,Tanker,Crude Oil Tanker,GR,333.0,60.0,11.0,162018.0,320105.0,,2012,16.0
241352000,9658240,MARAN GAS TROY,SVCB8,Tanker,LNG Tanker,GR,294.2,44.03,10.0,103893.0,89240.0,,2015,21.0
241393000,9519494,MARAN TAURUS,SVCG3,Tanker,Crude Oil Tanker,GR,333.0,60.0,10.3,162330.0,321052.0,,2011,16.0
241436000,9776559,SOPHIA,SVCK2,Tanker,Crude Oil Tanker,GR,336.0,60.05,11.0,161676.0,319398.0,,2017,18.0
241522000,9295335,BASSILEVOUSA,SVCQ7,Tanker,Oil or Chemical Tanker,GR,182.55,27.37,11.0,23278.0,39698.0,,2005,90.0
241614000,9787194,MINERVA OLYMPIA,SVDA4,Tanker,Crude Oil Tanker,GR,250.0,44.04,8.2,63485.0,114780.0,,2019,17.0
241640000,9791901,DESERT DIGNITY,SVDC8,Cargo,Bulk Carrier,GR,199.98,32.24,10.3,35832.0,63503.0,,2016,102.0
241712000,9859753,WOODSIDE CHARLES ALLEN,SVDI5,Tanker,LNG Tanker,GR,294.9,46.44,9.8,113822.0,94732.0,,2020,20.0
241819000,9930806,MARAN DIONE,SVDQ7,Tanker,Crude Oil Tanker,GR,,,,,,,2023,
241837000,9956991,UBUNTU COMMUNITY,SVDS4,Cargo,Bulk Carrier,GR,299.88,47.57,,,,,2023,
241868000,9951109,WORLD SEAFARER MD,SVDU6,Cargo,Bulk Carrier,GR,291.9,45.0,,93800.0,181500.0,,2023,
241901000,9849320,SIBYLLA,SVDW2,Cargo,Bulk Carrier,GR,,,11.6,106000.0,208000.0,,2019,17.0
241949000,9978688,OCEAN STAR,SVDZ8,Tanker,Crude Oil Tanker,GR,249.97,42.0,,,,,,
241958000,9961398,MARAN GAS SYROS,SVEA4,Tanker,LNG Tanker,GR,294.9,46.44,,,,,2025,
241960000,1025564,SEA PENGUIN,SVEA7,Tanker,Crude Oil Tanker,GR,248.8,44.0,,,,,,
241971000,9963827,MARAN GAS ANTIPAROS,SVEB8,Tanker,LNG Tanker,GR,,,,,,,,
