timestamp_utc,mmsi,ship_name,message_type,latitude,longitude,sog_knots,cog_degrees,true_heading,rate_of_turn,nav_status_code,nav_status_text,position_accuracy
2026-04-07 06:35:27.885277388 +0000 UTC,563021100,,PositionReport,1.1955016666666665,103.746445,0.2,306.4,339,0,0,Under way using engine,True
2026-04-07 06:35:27.966441104 +0000 UTC,566680000,,PositionReport,1.19049,103.74681666666667,0,174.8,31,0,1,At anchor,False
2026-04-07 06:35:28.237414967 +0000 UTC,311009200,,PositionReport,1.2387166666666665,103.7773,7.8,147,150,0,0,Under way using engine,False
2026-04-07 06:35:28.540323958 +0000 UTC,542249110,,PositionReport,1.2464766666666667,103.79888,6.7,116,,-128,0,Under way using engine,True
2026-04-07 06:35:28.822566167 +0000 UTC,566065000,,PositionReport,1.2121783333333334,103.81593833333334,5.7,289.3,284,0,0,Under way using engine,True
2026-04-07 06:35:28.942877331 +0000 UTC,566091000,,PositionReport,1.2963033333333334,103.95920333333333,0,259.7,86,0,1,At anchor,False
2026-04-07 06:35:29.229108458 +0000 UTC,563083550,,PositionReport,1.1964333333333335,103.74427333333333,0.1,260.7,303,0,0,Under way using engine,True
2026-04-07 06:35:29.442198051 +0000 UTC,538008858,,PositionReport,1.3007833333333332,103.69865,0,275,271,0,0,Under way using engine,False
2026-04-07 06:35:29.461559938 +0000 UTC,563105900,,PositionReport,1.1723516666666667,103.77052666666667,0.7,246.1,74,-127,0,Under way using engine,False
2026-04-07 06:35:29.940985242 +0000 UTC,563038800,,PositionReport,1.2237716666666667,103.708945,0,196.5,218,0,0,Under way using engine,False
2026-04-07 06:35:30.21107259 +0000 UTC,563009180,,PositionReport,1.2610216666666667,103.84859666666667,0.7,114.3,,-128,0,Under way using engine,True
2026-04-07 06:35:30.260307024 +0000 UTC,564060000,,PositionReport,1.2023866666666665,103.82202333333333,7.3,94.4,93,0,1,At anchor,False
2026-04-07 06:35:30.650010853 +0000 UTC,563085480,,StandardClassBPositionReport,1.2591299999999999,103.81996166666666,0,360,,,,,False
2026-04-07 06:35:31.191657859 +0000 UTC,457001254,EH GAJAH,ExtendedClassBPositionReport,1.2632516666666667,103.829165,0,0,,,,,False
2026-04-07 06:35:31.203586077 +0000 UTC,563077750,,PositionReport,1.3003416666666667,103.72835,2.3,155,144,0,8,Under way sailing,False
2026-04-07 06:35:31.474110747 +0000 UTC,563041631,,StandardClassBPositionReport,1.21013,103.79514999999999,0.4,360,,,,,True
2026-04-07 06:35:31.593876533 +0000 UTC,533674000,,PositionReport,1.2147183333333333,103.93115333333334,8.8,63.9,64,0,0,Under way using engine,False
2026-04-07 06:35:31.665540327 +0000 UTC,352004850,,PositionReport,1.2426666666666668,103.80779166666666,0,351.3,183,0,1,At anchor,False
2026-04-07 06:35:31.743487571 +0000 UTC,538006076,,PositionReport,1.2742916666666666,103.94786,0.1,140.9,270,11,1,At anchor,True
2026-04-07 06:35:31.783515626 +0000 UTC,565523000,,PositionReport,1.2924483333333332,103.93374,0,244.8,91,0,0,Under way using engine,False
2026-04-07 06:35:32.100918015 +0000 UTC,563066540,,PositionReport,1.2655616666666667,103.77925666666667,2.2,12.7,74,127,0,Under way using engine,False
2026-04-07 06:35:32.265994354 +0000 UTC,525501739,,PositionReport,-6.851583333333334,112.42549166666666,0,0,,-128,8,Under way sailing,True
2026-04-07 06:35:32.355772561 +0000 UTC,563009046,,StandardClassBPositionReport,1.2586616666666666,103.85174166666667,8.6,280,,,,,False
2026-04-07 06:35:32.553606626 +0000 UTC,354331000,,PositionReport,1.1880133333333334,103.82831833333333,5.7,254.8,261,0,0,Under way using engine,False
2026-04-07 06:35:33.008145022 +0000 UTC,525110191,,PositionReport,1.0943366666666667,103.71966,29.1,58,,-18,0,Under way using engine,False
2026-04-07 06:35:33.061261057 +0000 UTC,636016118,,PositionReport,1.2880783333333334,103.74144333333334,0.1,127.8,87,0,0,Under way using engine,True
2026-04-07 06:35:33.090039801 +0000 UTC,538011325,,PositionReport,1.1570483333333332,103.69470833333334,10.4,301.5,302,0,0,Under way using engine,True
2026-04-07 06:35:33.099792506 +0000 UTC,563026780,,StandardClassBPositionReport,1.27,103.86729833333334,0,87.1,,,,,True
2026-04-07 06:35:33.113647337 +0000 UTC,5631101,,PositionReport,1.2735883333333333,103.80138166666667,0,0,,-128,15,Undefined (default),False
2026-04-07 06:35:33.650398688 +0000 UTC,352005954,,PositionReport,1.2321433333333334,103.98386666666667,11.1,90.1,88,0,0,Under way using engine,False
2026-04-07 06:35:33.70084155 +0000 UTC,533110592,,StandardClassBPositionReport,1.2647533333333334,103.81292,0.1,360,,,,,True
2026-04-07 06:35:33.769278502 +0000 UTC,563070940,,PositionReport,1.2152516666666666,103.74625999999999,0,360,157,0,0,Under way using engine,True
2026-04-07 06:35:34.164218569 +0000 UTC,563086930,PSA PISCES,PositionReport,1.2426033333333335,103.78565666666667,2.5,346.9,343,-127,5,Moored,True
2026-04-07 06:35:34.287448068 +0000 UTC,215137000,,PositionReport,1.0827283333333333,103.71955833333332,11.9,51.4,48,-5,0,Under way using engine,True
2026-04-07 06:35:34.691501877 +0000 UTC,667002156,,PositionReport,1.1937516666666668,103.75384666666667,0.4,291.2,223,0,1,At anchor,False
2026-04-07 06:35:34.862482929 +0000 UTC,533131048,,StandardClassBPositionReport,-6.563599999999999,110.65519833333333,0.1,0,235,,,,False
2026-04-07 06:35:34.870560478 +0000 UTC,677034400,,PositionReport,1.286535,103.76738666666667,0,31.2,,-128,0,Under way using engine,False
2026-04-07 06:35:35.008050959 +0000 UTC,305496000,,PositionReport,1.1467683333333334,103.75363666666667,8.2,238.8,240,-5,0,Under way using engine,False
2026-04-07 06:35:35.129079918 +0000 UTC,419001637,,PositionReport,1.09955,103.88852166666668,0,58.1,183,0,0,Under way using engine,False
2026-04-07 06:35:35.145000482 +0000 UTC,636023450,,PositionReport,1.1492666666666667,103.72336666666666,5.2,301,304,0,0,Under way using engine,True
2026-04-07 06:35:35.742076377 +0000 UTC,533132115,,PositionReport,1.2380516666666668,103.70683333333334,7.6,36.3,36,0,0,Under way using engine,False
2026-04-07 06:35:36.106590162 +0000 UTC,525601262,,PositionReport,-6.87868,112.26853333333334,0,360,,-128,0,Under way using engine,False
2026-04-07 06:35:36.15410307 +0000 UTC,563221000,,PositionReport,1.23917,103.88127833333333,7.2,12,13,0,0,Under way using engine,False
2026-04-07 06:35:36.208432246 +0000 UTC,563253500,,PositionReport,1.1662383333333333,103.76037666666666,0.3,199.7,98,-9,0,Under way using engine,True
2026-04-07 06:35:36.260297293 +0000 UTC,572740210,,PositionReport,1.2895066666666668,103.92605833333333,0.2,91.5,134,0,0,Under way using engine,True
2026-04-07 06:35:36.317433025 +0000 UTC,564886000,,PositionReport,1.2704833333333334,103.76619333333333,0,42.1,301,0,0,Under way using engine,True
2026-04-07 06:35:36.344344806 +0000 UTC,566975000,,PositionReport,1.2502066666666667,103.89106833333334,0.1,50.9,177,0,0,Under way using engine,False
2026-04-07 06:35:36.353940875 +0000 UTC,566842000,,PositionReport,1.22965,103.71546833333333,0,70.3,264,6,1,At anchor,False
2026-04-07 06:35:36.687078071 +0000 UTC,370682000,,PositionReport,1.2685666666666668,103.73530000000001,0,295,246,0,0,Under way using engine,True
2026-04-07 06:35:36.856772393 +0000 UTC,253000147,BOURBONEVOLUTION810,PositionReport,1.232885,103.81559333333333,0,238.5,194,0,1,At anchor,True
2026-04-07 06:35:37.061995685 +0000 UTC,352005622,,PositionReport,1.2620133333333332,103.92230166666667,0,151.6,222,0,1,At anchor,True
2026-04-07 06:35:37.167161686 +0000 UTC,564058426,,PositionReport,1.2628333333333333,103.763015,10.4,27.7,,-128,0,Under way using engine,True
2026-04-07 06:35:37.194164407 +0000 UTC,563034080,,PositionReport,1.2149616666666667,103.73409333333333,0.1,360,,-128,15,Undefined (default),True
2026-04-07 06:35:37.280109262 +0000 UTC,563029230,,PositionReport,1.2214116666666668,103.82199166666666,5.1,299,310,0,0,Under way using engine,False
2026-04-07 06:35:37.300678968 +0000 UTC,563021100,,PositionReport,1.1954850000000001,103.74646166666666,0.2,195.8,340,0,0,Under way using engine,True
2026-04-07 06:35:37.487959945 +0000 UTC,566000050,,PositionReport,1.2564983333333333,103.84003166666666,0.3,335.8,61,0,5,Moored,False
2026-04-07 06:35:37.753941712 +0000 UTC,372616000,,PositionReport,1.287195,103.95479999999999,0,236.9,173,-5,1,At anchor,True
2026-04-07 06:35:38.086246237 +0000 UTC,440532000,,PositionReport,1.2257333333333333,103.94578,12.4,67,67,0,0,Under way using engine,True
2026-04-07 06:35:38.477085362 +0000 UTC,563248400,,PositionReport,1.1724166666666667,103.76151333333334,3.8,248.8,253,0,0,Under way using engine,False
2026-04-07 06:35:38.763495333 +0000 UTC,341268000,,StandardClassBPositionReport,1.2699866666666668,103.86735833333334,0,53.6,53,,,,False
2026-04-07 06:35:38.866438912 +0000 UTC,563766000,,PositionReport,1.2990066666666666,103.95291333333333,0,257.9,92,0,0,Under way using engine,False
2026-04-07 06:35:38.875620456 +0000 UTC,525008101,,PositionReport,-7.234213333333333,113.31239166666666,0.3,360,,-128,8,Under way sailing,False
2026-04-07 06:35:38.911313284 +0000 UTC,566500000,,PositionReport,1.2618699999999998,103.81974333333332,0,338.4,,-128,0,Under way using engine,True
2026-04-07 06:35:39.193787197 +0000 UTC,563105900,,PositionReport,1.1723333333333334,103.77049666666667,0.7,243.2,72,-127,0,Under way using engine,False
2026-04-07 06:35:39.277440507 +0000 UTC,563120700,,PositionReport,1.25621,103.92311833333333,0,132,241,0,0,Under way using engine,False
2026-04-07 06:35:39.380710715 +0000 UTC,563019670,,PositionReport,1.2445733333333335,103.79409000000001,14.6,191,196,127,15,Undefined (default),True
2026-04-07 06:35:39.407637017 +0000 UTC,413241940,,PositionReport,1.2413066666666666,103.81852,0.1,304.8,205,0,1,At anchor,False
2026-04-07 06:35:39.647486425 +0000 UTC,563009240,,PositionReport,1.2458366666666667,103.70475833333333,10.4,61.4,,-128,5,Moored,False
2026-04-07 06:35:39.673478436 +0000 UTC,533057100,,PositionReport,1.2548266666666665,103.80162333333332,0,231.4,105,0,1,At anchor,False
2026-04-07 06:35:39.838061145 +0000 UTC,636017501,,PositionReport,1.2398716666666667,103.750575,0.1,191.1,263,0,5,Moored,True
2026-04-07 06:35:39.970985378 +0000 UTC,563217300,,PositionReport,1.241805,103.727585,8.6,84.5,85,0,0,Under way using engine,False
2026-04-07 06:35:40.154050932 +0000 UTC,566133000,,PositionReport,1.23927,103.70938833333334,2.1,291.2,313,127,8,Under way sailing,False
2026-04-07 06:35:40.313845734 +0000 UTC,311001751,,PositionReport,1.2479316666666667,103.895825,7.6,175.7,174,0,0,Under way using engine,False
2026-04-07 06:35:40.766736308 +0000 UTC,374986000,,PositionReport,1.26768,103.87874166666667,2.3,27.1,30,0,0,Under way using engine,True
2026-04-07 06:35:41.300554405 +0000 UTC,563002840,,PositionReport,1.26191,103.81790166666666,0,317,,-128,8,Under way sailing,False
2026-04-07 06:35:41.49002227 +0000 UTC,574005160,,PositionReport,1.2313433333333335,103.96207833333332,16.1,69.5,73,11,0,Under way using engine,False
2026-04-07 06:35:41.54126126 +0000 UTC,538012042,,PositionReport,1.2621666666666667,103.81923333333334,0,162.3,91,0,5,Moored,True
2026-04-07 06:35:41.9026573 +0000 UTC,477013300,,PositionReport,1.14905,103.71378333333334,9.8,303,300,0,0,Under way using engine,True
2026-04-07 06:35:42.017539672 +0000 UTC,525005032,,PositionReport,1.1992833333333333,103.87847000000001,16,273.7,275,0,8,Under way sailing,False
2026-04-07 06:35:42.059213262 +0000 UTC,566241000,,PositionReport,1.2703883333333332,103.92218,0,319.3,189,0,5,Moored,False
2026-04-07 06:35:42.157728665 +0000 UTC,525022259,,StandardClassBPositionReport,1.2442199999999999,103.75709666666667,3.7,84.6,,,,,True
2026-04-07 06:35:42.315843788 +0000 UTC,563028450,,PositionReport,1.2217583333333333,103.70880000000001,0,271.8,195,0,0,Under way using engine,False
2026-04-07 06:35:42.514444972 +0000 UTC,525101263,GARDA MARITIM 3,PositionReport,-10.21759,123.51792666666667,0,92.3,,-128,8,Under way sailing,False
2026-04-07 06:35:42.638486355 +0000 UTC,538003566,,PositionReport,1.2472016666666665,103.748345,10,80,80,0,0,Under way using engine,False
2026-04-07 06:35:42.660633014 +0000 UTC,563066180,,PositionReport,1.2870666666666668,103.75625,8.9,243.7,,-128,0,Under way using engine,True
2026-04-07 06:35:42.927758325 +0000 UTC,352006111,,PositionReport,1.2454516666666666,103.87507166666666,2.9,2.2,25,127,0,Under way using engine,False
2026-04-07 06:35:43.247800909 +0000 UTC,566753000,HAI SOON 33,PositionReport,1.247145,103.776635,5.8,325.9,324,-127,0,Under way using engine,False
2026-04-07 06:35:43.275039386 +0000 UTC,563085890,,PositionReport,1.2410316666666668,103.74108500000001,2.4,85.2,80,0,0,Under way using engine,False
2026-04-07 06:35:43.411079291 +0000 UTC,564759000,,PositionReport,1.22299,103.77433333333333,0.1,0,,-128,8,Under way sailing,True
2026-04-07 06:35:43.597191317 +0000 UTC,525200295,,StandardClassBPositionReport,1.2471649999999999,103.778405,6.1,330.2,,,,,True
2026-04-07 06:35:44.025115764 +0000 UTC,353757000,,PositionReport,1.2352483333333335,103.818055,0.1,215.8,160,0,1,At anchor,True
2026-04-07 06:35:44.076039346 +0000 UTC,563265800,,PositionReport,1.2883266666666666,103.76428166666666,0.1,225.2,121,-4,5,Moored,True
2026-04-07 06:35:44.202421844 +0000 UTC,636018934,,PositionReport,1.2481966666666666,103.93698166666667,7.1,243.5,239,-10,0,Under way using engine,True
2026-04-07 06:35:44.221744882 +0000 UTC,563040382,,StandardClassBPositionReport,1.2461033333333333,103.80828666666666,7.2,136.4,,,,,False
2026-04-07 06:35:44.343075802 +0000 UTC,525100954,,StandardClassBPositionReport,1.262665,103.82816,0,0,,,,,True
2026-04-07 06:35:44.474695822 +0000 UTC,566357000,,PositionReport,1.2619183333333335,103.81975166666666,0,159.2,,-128,0,Under way using engine,True
2026-04-07 06:35:44.587507337 +0000 UTC,241971000,,PositionReport,1.1660533333333334,103.75977166666667,0,191,96,-8,0,Under way using engine,False
2026-04-07 06:35:44.636490292 +0000 UTC,563077750,,PositionReport,1.3001783333333334,103.72842166666666,3.3,156,148,127,8,Under way sailing,False
2026-04-07 06:35:44.848477581 +0000 UTC,357044000,,PositionReport,1.2358833333333334,104.00389666666666,10.4,82.9,82,0,0,Under way using engine,False
2026-04-07 06:35:44.901315583 +0000 UTC,357197000,,PositionReport,1.1750333333333332,103.70785666666667,0.1,79.2,333,0,1,At anchor,True
2026-04-07 06:35:45.32873255 +0000 UTC,563258400,,PositionReport,1.26183,103.81885333333334,0,84.9,266,0,9,Reserved (HSC),False
2026-04-07 06:35:45.383716124 +0000 UTC,566623000,RESOLUTE NN24,PositionReport,1.17143,103.77009500000001,0,50.5,,-128,8,Under way sailing,True
2026-04-07 06:35:45.941375173 +0000 UTC,563273700,,PositionReport,1.2988983333333333,103.95670666666666,0,157.3,93,3,0,Under way using engine,False
2026-04-07 06:35:45.925154767 +0000 UTC,525104003,,PositionReport,-6.861985000000001,112.42740333333333,0.4,47.8,235,0,0,Under way using engine,False
2026-04-07 06:35:46.108507693 +0000 UTC,563039300,,PositionReport,1.246765,103.80113166666666,0,233.8,126,0,1,At anchor,False
2026-04-07 06:35:46.154991567 +0000 UTC,457676000,,PositionReport,1.18875,103.74910666666666,7.9,155.3,154,9,8,Under way sailing,False
2026-04-07 06:35:46.527819927 +0000 UTC,352004745,,PositionReport,1.161,103.80117833333334,5.7,50,53,0,0,Under way using engine,True
2026-04-07 06:35:46.687248783 +0000 UTC,457658000,,StandardClassBPositionReport,1.2704449999999998,103.854945,0,116.2,,,,,True
2026-04-07 06:35:46.855750096 +0000 UTC,667002065,,PositionReport,-6.851821666666667,112.43751333333333,0,239,22,0,0,Under way using engine,False
2026-04-07 06:35:47.007158272 +0000 UTC,352001363,,PositionReport,1.2738683333333334,103.78472166666667,0,55.1,121,0,5,Moored,False
2026-04-07 06:35:47.114093552 +0000 UTC,538005806,,PositionReport,1.2422283333333333,103.965215,3.9,10.9,351,-19,0,Under way using engine,False
2026-04-07 06:35:47.446158896 +0000 UTC,563275700,,PositionReport,1.2617033333333334,103.84554166666666,0,318.5,317,0,0,Under way using engine,False
2026-04-07 06:35:47.807286523 +0000 UTC,232046110,,PositionReport,1.265805,103.81152999999999,0,38.7,236,0,5,Moored,False
2026-04-07 06:35:47.946299793 +0000 UTC,525100095,,StandardClassBPositionReport,1.265045,103.84193166666667,0,0,,,,,False
2026-04-07 06:35:48.492740453 +0000 UTC,563084860,,PositionReport,1.3002116666666665,103.96522,5.2,97.9,,-128,0,Under way using engine,False
2026-04-07 06:35:48.781016853 +0000 UTC,563227800,,PositionReport,1.2584733333333333,103.82296666666666,0,360,,-128,2,Not under command,True
2026-04-07 06:35:49.060739746 +0000 UTC,563084440,,PositionReport,1.2140083333333334,103.796685,7.4,124.2,119,0,0,Under way using engine,False
2026-04-07 06:35:49.194009178 +0000 UTC,563246900,,PositionReport,1.2642016666666664,103.833435,0,208.9,,-128,0,Under way using engine,False
2026-04-07 06:35:49.635889504 +0000 UTC,636022920,,PositionReport,1.1434633333333333,103.73939666666666,5.4,260.6,275,20,0,Under way using engine,False
2026-04-07 06:35:49.912367238 +0000 UTC,525900792,,PositionReport,1.2101983333333335,103.82321333333333,7.3,276.9,,-128,0,Under way using engine,True
2026-04-07 06:35:50.049646966 +0000 UTC,370219000,,PositionReport,1.1898000000000002,103.66132166666667,5,234.2,240,0,0,Under way using engine,False
2026-04-07 06:35:50.474334933 +0000 UTC,564331000,,PositionReport,1.2410850000000002,103.82131666666668,15.2,127.5,,-128,5,Moored,True
2026-04-07 06:35:50.629447722 +0000 UTC,431013000,,PositionReport,-6.098866666666667,106.91699833333334,0,158.1,92,0,5,Moored,False
2026-04-07 06:35:51.119138133 +0000 UTC,477627900,,PositionReport,1.2070016666666668,103.89429,17,77.6,80,0,0,Under way using engine,False
2026-04-07 06:35:51.118289281 +0000 UTC,447161000,,PositionReport,1.209635,103.87378333333332,3.4,238.8,240,3,0,Under way using engine,False
2026-04-07 06:35:51.885435265 +0000 UTC,256099000,,PositionReport,1.281095,103.92643500000001,0,176.7,102,3,1,At anchor,True
2026-04-07 06:35:51.999179224 +0000 UTC,219502000,,PositionReport,1.2906416666666667,104.00176499999999,0,132.5,132,-2,1,At anchor,True
2026-04-07 06:35:52.222144573 +0000 UTC,563044940,,ExtendedClassBPositionReport,1.2700316666666667,103.86647333333333,0,358.4,,,,,False
2026-04-07 06:35:52.50444829 +0000 UTC,564425000,,PositionReport,1.2627249999999999,103.82009833333333,0,360,273,0,0,Under way using engine,False
2026-04-07 06:35:52.505698849 +0000 UTC,405000444,,PositionReport,1.2698183333333333,103.89596833333333,0.1,170,83,0,0,Under way using engine,True
2026-04-07 06:35:52.673008361 +0000 UTC,563323700,,PositionReport,1.2629083333333333,103.82014666666667,0,122.3,266,-127,8,Under way sailing,False
2026-04-07 06:35:52.674084576 +0000 UTC,563336000,,PositionReport,1.2466816666666667,103.91931666666666,0.1,335.8,178,0,1,At anchor,False
2026-04-07 06:35:52.674854633 +0000 UTC,538011746,,PositionReport,1.170855,103.77235999999999,0,55.1,235,0,3,Restricted manoeuvrability,False
2026-04-07 06:35:52.881073757 +0000 UTC,525600143,,StandardClassBPositionReport,-6.864275,109.82953666666667,0,281.9,,,,,True
2026-04-07 06:35:53.1178329 +0000 UTC,563077510,,StandardClassBPositionReport,1.2552416666666666,103.79179,16.9,249.6,,,,,False
2026-04-07 06:35:53.200777239 +0000 UTC,563069100,,PositionReport,1.240245,103.87749333333333,0.2,120.6,30,0,0,Under way using engine,False
2026-04-07 06:35:53.233776862 +0000 UTC,563066530,,PositionReport,1.25268,103.76220666666667,10.7,22.1,,-128,0,Under way using engine,True
2026-04-07 06:35:53.250376443 +0000 UTC,564759000,I MOLA,PositionReport,1.2229933333333334,103.77433333333333,0.1,0,,-128,8,Under way sailing,True
2026-04-07 06:35:53.407280856 +0000 UTC,564346000,,PositionReport,1.2619216666666666,103.81841833333333,0,340.5,,-128,8,Under way sailing,False
2026-04-07 06:35:53.487087155 +0000 UTC,413219610,,PositionReport,1.2777983333333334,103.92429999999999,0.2,154.9,297,0,0,Under way using engine,True
2026-04-07 06:35:53.700568889 +0000 UTC,413607660,,PositionReport,1.1805733333333335,103.75036666666666,0.1,226.2,150,0,1,At anchor,True
2026-04-07 06:35:53.808283209 +0000 UTC,525119201,,PositionReport,-7.379591666666667,113.280465,0,293.4,256,0,3,Restricted manoeuvrability,False
2026-04-07 06:35:54.041158481 +0000 UTC,563026590,,PositionReport,1.2567783333333333,103.82874,0,62.5,290,0,0,Under way using engine,True
2026-04-07 06:35:54.100261644 +0000 UTC,563085870,,PositionReport,1.2233383333333334,103.71142333333334,0.1,267.6,195,0,5,Moored,False
2026-04-07 06:35:54.154471634 +0000 UTC,312463000,,PositionReport,1.1673133333333332,103.69169833333333,5.2,300.9,,-128,0,Under way using engine,True
2026-04-07 06:35:54.487090571 +0000 UTC,636026066,,PositionReport,1.2831166666666667,103.76448333333333,1.3,83,352,-127,5,Moored,True
2026-04-07 06:35:54.512555148 +0000 UTC,412351280,,PositionReport,1.215525,103.88662666666667,7.5,246.7,250,0,0,Under way using engine,False
2026-04-07 06:35:54.616598142 +0000 UTC,431115000,,PositionReport,1.1796816666666667,103.76731666666666,0,350.1,80,0,1,At anchor,False
2026-04-07 06:35:54.687077991 +0000 UTC,563086610,,PositionReport,1.2243716666666666,103.71266,0,196.1,156,0,0,Under way using engine,True
2026-04-07 06:35:54.79304484 +0000 UTC,525018215,,PositionReport,-6.855171666666666,112.38114166666666,0,202.2,,-128,1,At anchor,True
2026-04-07 06:35:54.927435525 +0000 UTC,563075510,,PositionReport,1.2897316666666667,103.76201333333333,0,4.1,120,0,0,Under way using engine,False
2026-04-07 06:35:55.060495071 +0000 UTC,563082830,,StandardClassBPositionReport,1.19093,103.786495,0.4,252.6,,,,,True
2026-04-07 06:35:55.382748422 +0000 UTC,414877000,,PositionReport,1.23852,103.94912,13.2,250.2,248,0,0,Under way using engine,False
2026-04-07 06:35:55.43370395 +0000 UTC,565175000,,PositionReport,1.2572633333333334,103.841285,0.3,234.9,,-128,0,Under way using engine,False
2026-04-07 06:35:55.727067599 +0000 UTC,538008694,,PositionReport,1.1908666666666667,103.85768333333334,8.9,58.6,59,0,0,Under way using engine,False
2026-04-07 06:35:55.993425095 +0000 UTC,565209000,,PositionReport,1.19644,103.74908833333333,0.1,0,285,0,0,Under way using engine,True
2026-04-07 06:35:56.237353407 +0000 UTC,352001488,,PositionReport,1.1841833333333334,103.85298333333334,5.9,64,61,0,0,Under way using engine,True
