mmsi,imo_number,ship_name,call_sign,ship_type_code,ship_category,length_m,beam_m,draught_m,destination
314001105,9291236,LONG XIANG,8PZT8,80,Tanker,248,43,8.5,SGSIN PEBGC
314001139,9250737,ORYX,8PZY2,80,Tanker,269,46,9,EG SUZ
314177000,9325609,STAR MERLIN,8PRL,80,Tanker,186,32,7,SG SIN AESPA
314940000,9251664,ECO PRIDE 1,8P2436,84,Tanker,178,28,7,SISGN
319053100,9672428,VICTON,ZGDI5,37,Sailing / Pleasure / HSC,40,8,2.2,OCEAN MARINA
319151100,9787948,BURRI,ZGHZ4,80,Tanker,249,44,8.5,SG SIN / PEBGC
319198600,9915648,ANNABELLA,ZGKX5,37,Sailing / Pleasure / HSC,44,8,2.6,SING ONE15
325108100,,,J7AT8,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
341268000,,,V4KJ,59,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,15,5,,
341612001,,,V4YU5,59,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,16,4,,
351177000,9847853,DAISY GLORY,3FDZ9,70,Cargo,229,32,13.3,SG SIN PEBGB
351322000,9288576,SG FRIENDSHIP,HPOP,89,Tanker,144,24,6,SINGAPORE
351473000,9235050,MSC ALYSSA,H9MW,0,Type 0,274,32,10.7,SINGAPORE
351616000,9254927,GT FREEDOM,HPBI,80,Tanker,180,32,7.5,PEGBC-SGP
351885000,9712333,GOLDEN ORION,3FEW,80,Tanker,120,21,6,SG SIN/PGBG
352001246,9911989,REGINA ISLAND,3E3995,70,Cargo,182,30,9.5,MY LGK
352001248,9417048,SEIYO FORTUNE,3E3997,70,Cargo,105,21,4.4,SG SIN<PEBGA
352001363,9919450,EVER CONSIST,3E2121,70,Cargo,171,28,8.7,PEBGA
352001488,9230141,SENTOSA 66,3E2505,70,Cargo,225,32,13.4,SG PEBGB
352001951,9913901,EVER OUTWIT,3E2791,71,Cargo,195,32,8.9,SGSGP PWBGA
352003034,9232553,MK LION,3E6586,80,Tanker,135,22,5.5,DUMAI_ID
352003145,9414280,PVT AVIRA,3E6025,89,Tanker,180,33,7.5,SGP
352003815,8554875,NEW BL DOLPHIN,3E5903,80,Tanker,146,21,7.3,SG SIN PEBGC
352004229,9490648,ASC GLORY,3E7718,70,Cargo,190,32,6.7,MY KUA
352004357,9657507,LS MERCURY,3E6673,80,Tanker,131,20,8,MY PGD
352004737,9982550,NORD VIGNALE,3E6988,80,Tanker,183,32,9.2,MYTLA>SG PEBGC
352004745,1024443,NORSE SEQUEL,3E6997,70,Cargo,199,32,13.6,SG SIN (PEBG-B)
352004801,1090533,FENG HAI 98,3E7041,70,Cargo,159,23,5.6,TH LCH
352004850,9423906,FLORA MARIS,3E7083,82,Tanker,189,32,9.2,SG SIN-PEBGC
352005076,9292278,VERA,3E7277,80,Tanker,176,31,6.5,SINGAPORE WPBGA
352005318,9607605,HOANG ANH 01,3E8614,70,Cargo,159,24,9.8,PEBGA
352005622,9298284,THEA,3E8853,80,Tanker,228,32,10.3,PEBGB
352005632,1057103,DORIC SAMURAI,3E8859,70,Cargo,199,32,12.7,SGSIN
352005707,9424089,HPC LIBERTY,3E8920,79,Cargo,175,29,9.8,PEBGA
352006233,9998509,HMM SAGE,HOA2652,71,Cargo,274,46,14.4,CNSHK>SGSIN
352006393,1095997,KNK JAWAHAR,HOA7826,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,26,10,4.7,AEW SINGAPORE
352006601,9469924,LONNIE,3E7953,70,Cargo,292,45,8.5,SI SGP
352190000,9321160,KITION M,HPIX,80,Tanker,228,32,12,SG SIN PEBGB
352978276,9337834,DOLPHIN 01,3E3376,80,Tanker,126,20,7,SG_PWBGA
353362000,8770053,EMERALD_DRILLER,3FMC7,99,Other,100,69,0,PAXOCEAN BATAM
353757000,9806756,BITUMEN KOSEI,3FHK7,80,Tanker,102,17,5.1,AWW
353848000,9158575,HIGHWAY,3FGU8,70,Cargo,182,30,10.5,IDJKT
354077000,9376933,LONGHUNG 5,3FJR4,80,Tanker,127,20,4.8,PEBGC SG SIN
354331000,9596258,HOUYOSHI EXPRESS II,3FDM5,80,Tanker,183,32,8,SG PGBG
355048000,9542142,NO.3 OCEAN PIONEER,3FIC3,82,Tanker,146,24,9.7,AWPB
355929000,9881196,YUYO 2,HO9831,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,158,9,4.2,"AWW,SINGAPORE"
357044000,9271377,TRIDENT HOPE,HOWJ,80,Tanker,241,42,10,MY KIM
357197000,9508160,CHEMROUTE SKY,3FDM6,82,Tanker,159,26,10.3,FUZHOU CHINA
357225000,9245938,MERCURY 5,HO2400,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,9,4.7,SINGAPORE A.W.W.
357276000,9180035,DONG MINH,3FET9,70,Cargo,169,28,9.9,SG JUR
357926000,9467392,MSC BERYL,3EXV8,71,Cargo,366,48,10.7,CNSHA
370682000,9441659,DM CONDOR,3EPT4,82,Tanker,134,20,8.3,SG SIN OSCJ1
370835000,,,HO2060,34,Fishing / Towing / Dredging,,,,
370895000,9761827,SM EAGLE,3EMX3,84,Tanker,295,46,9.8,SGSIN PGBG
371884000,9624902,ISUZU,3FSN6,70,Cargo,145,25,8.4,SG SIN
372192000,9333761,KUMANO,3EHO5,70,Cargo,174,28,7.2,SG SIN
372616000,9809368,ALDANA,3FFK2,80,Tanker,277,48,14.7,SINGAPORE FOR ORDER
372805000,9442861,FLORIDA HIGHWAY,3EPT6,70,Cargo,199,32,9.9,SGSIN > TRDRC
372916000,9800441,GINGA ENDURANCE,3FXJ6,80,Tanker,159,27,9.5,SG SIN
373843000,9624328,EVER GALLANT,3EUN3,70,Cargo,170,27,9.8,SGJUR PEBGA
374857000,,UWCON SWIFT,,,Unknown,,,,
374986000,9369136,CLIO FORWARD,3EMS4,70,Cargo,128,20,5.6,SGP PEBGA
403515001,9459008,NCC NASMA,HZEG,80,Tanker,183,32,7.2,SGSIN
405000444,9636462,AKIJ HARMONY,S2CY9,70,Cargo,200,36,6.5,SINGAPORE
412351280,1099137,ZHONG TUO FEI CUI,BQHS4,82,Tanker,129,22,8.2,SINGAPORE PGBG
412379040,1120912,YUN XIANG 61,BQJN9,80,Tanker,115,17,6.8,SINGAPORE
412493000,9487172,YUN QUE ZUO,BQJV7,80,Tanker,245,42,15.2,AEBC
412549527,9961178,LURONGYUANYUYUN898,BZTX3,30,Fishing / Towing / Dredging,137,20,7.7,SHIDAO CN
413182000,9435612,JING YU ZUO,BPFZ,80,Tanker,229,32,8,SGP PEBGC
413219610,9277644,KANG HUAN,BOCA8,70,Cargo,190,32,10.6,SINGAPORE PEBGC
413241940,9896804,HENG HUI 19,BOLD4,82,Tanker,113,17,6.7,S G P/ PEBGC
413586730,9982251,JIAN HANG FENG DA,BPPB3,82,Tanker,99,16,5.5,SG_PEBGC
413613130,1097103,DINGHENG 33,BQHZ5,80,Tanker,95,15,4.6,SGP
414732000,9611656,GUI CHI,BPGF,80,Tanker,184,32,7.5,MY PENGERANG
414836000,9783394,LIAN SHAN HU,BPHB3,80,Tanker,220,36,10.4,SGP PWBGB
414877000,9933846,ZHONG GU CHENG DU,BPJK4,74,Cargo,228,40,12.4,MY PKG
416252000,9112832,ASIA CEMENT NO.6,BLEZ,70,Cargo,125,20,8.7,SIN PEBGA
419002058,9298674,DUBAI GREEN,ATEZ2,80,Tanker,228,32,8.3,SGSIN PWBGA
431013000,9182277,CASSIOPEIA LEADER,7JZI,70,Cargo,200,32,8,ID JKT
431115000,9315719,GRACE BARLERIA,7JZY,80,Tanker,288,44,9.1,SGSIN PGBG
431220000,9182368,ASTRAL ACE,7JUJ,70,Cargo,175,29,6.9,SGSIN_PEBGA
432634000,9355264,ENERGY NAVIGATOR,7JCK,80,Tanker,289,49,9.7,SG SIN PGBG
440061000,9701293,HMM CHITTAGONG,D7AN,71,Cargo,185,30,7.6,SGSIN(PWBGA)
440122000,9412725,JBU SAPPHIRE,D7FB,80,Tanker,141,24,5.7,SG SIN EBGC
440378000,9712369,HMM HERITAGE,D7HX,71,Cargo,172,28,8.8,SGSIN>>VNSGN
441244000,9415002,DM DRAGON,D7LA,80,Tanker,127,21,7.9,SG PGBG
441448000,9304344,YC DAISY,D7PA,82,Tanker,146,24,9.5,SG PGBG
441661000,9279939,CNC RICH,D7CR,80,Tanker,123,20,9.4,IN BOM
447161000,9329710,GAS AL KUWAIT II,9KEF,80,Tanker,225,36,8,CNDGG-SGSIN PGBG
457001254,,EH GAJAH,,,Unknown,,,,
457031000,,JOLLY RICH,,,Unknown,,,,
457282322,,HAI SHENG 6 RRS,,,Unknown,,,,
457404000,,SEA DRAGON 8,,,Unknown,,,,
457586000,,,JVMW8,90,Other,,,,
457618000,0,HAI BAO,JVRP8,70,Cargo,56,8,3.2,JURONG PORT SG
457658000,,,JVWL-6,70,Cargo,,,,
457671000,0,WEI YANG 018,JVXR8,33,Fishing / Towing / Dredging,60,13,0,
457676000,,XIN LI 6,,,Unknown,,,,
477013300,9617961,XIN HAI TONG 51,VRIG5,70,Cargo,190,32,11.6,GH-TEM
477100700,9801079,SC SCORPIO,VRQX7,82,Tanker,183,32,11.5,SINGAPORE===PGBG
477157500,9792888,GREAT PROFIT,VRQB2,70,Cargo,179,32,7.2,SGSIN_PEBGA
477178600,9532628,PACIFIC MARINER,VROY8,70,Cargo,360,65,12.2,SG SIN > BR PMA
477201800,9342097,ZHONG CHI,VRFA6,80,Tanker,188,32,9.3,AWPB SGP
477328600,9459357,EASTERN RIVER,VRJI6,70,Cargo,254,43,7.7,SGP
477351500,9495076,OCEAN ENERGY,VRIE3,70,Cargo,255,43,14.4,PEBGB SG
477547800,9564815,DA HENG SHAN,VRFX9,80,Tanker,106,17,5.5,SGP(PEBGC)
477685900,9470662,ANGEL NO.1,VRGG5,80,Tanker,118,18,5.9,SGP PEBGC
477708200,9901788,KENZEN,VRUA9,70,Cargo,200,32,8.7,SG SIN
477716100,9872391,EVER OASIS,VRTX8,71,Cargo,195,32,9.5,SGSGP-THLCH
477733100,9555606,ANGEL NO.3,VRGL9,83,Tanker,118,18,6.8,SINGAPORE PGBG
477744100,9473432,MAPLE FORTUNE,VRGE4,70,Cargo,180,28,5.9,AUKWI
477811600,9907122,JIN HAI YING,VRUO3,80,Tanker,129,22,7.2,SIN PWBGA
477854400,9718868,SILVER HESSA,VRPS6,80,Tanker,183,32,8.8,SINGAPORE PWBGA
477890700,9922512,OOCL FELIXSTOWE,VRVN7,71,Cargo,399,61,13.2,BE ZEE>SG SIN
477898700,9329538,OOCL YOKOHAMA,VRDB3,71,Cargo,260,32,12,SG SIN PEBGA
518100675,9213208,PROGRESS 10,E5U3586,80,Tanker,115,16,4.8,SINGAPORE
518100733,,LOTS OF KNOTS,,,Unknown,,,,
518100792,,,E5U3703,59,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,19,5,,
518998488,9902500,PAIZA ONE,E5U4468,37,Sailing / Pleasure / HSC,44,9,3,KEPPEL MARINA
518999324,,UNIKIK 2.0,,,Unknown,,,,
525000088,0,KM.TAWAKAL,1234567,30,Fishing / Towing / Dredging,6,10,0,
525001108,0,KM.SABUK_NUSANTARA43,JZWR,99,Other,70,14,0,KUPANG^
525003230,,,YB3478,70,Cargo,,,,
525003316,,KM EVA PUTRI,,,Unknown,,,,
525004108,8661159,KMP.SIGINJAI,PODM,60,Passenger,20,20,2.1,KARIMUNJAWA
525004994,,KM.PUTRI AYU 2,,,Unknown,,,,
525007049,,TB SATRIA SRIS 5,,,Unknown,,,,
525008054,9189548,MT PANDAN,PMRQ,80,Tanker,66,14,3.3,KUPANG
525008101,9149536,TB BALONGAN 1,YFIX,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,9,3.5,CAPLONG
525008120,9509918,SENIPAH,JZYW,80,Tanker,180,30,7,PEBGC
525013027,9085699,TANTO ALAM,JZEA,70,Cargo,106,,6.5,IDKOE
525015658,9181730,MV.CTP FORTUNE,PNIF,70,Cargo,161,26,8,SIN PEBGA
525016277,8652251,EXPRESS BAHARI 3C,YB4671,60,Passenger,32,5,0,
525016748,9704879,NMS ACHIEVE,YDB4444,0,Type 0,34,8,0,
525018042,,,YDA4306,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
525018215,9054183,MT.PETRO OCEAN XXVII,JZQY,80,Tanker,65,10,4,PACIRAN
525018271,9236676,ASEAN EXPLORER,JZSY,90,Other,142,24,7.7,PEBGA SG
525018298,,KM. EXPRESS BAHARI8E,,,Unknown,,,,
525018301,7382146,TSHD KING RICHARD 8,JZOQ,33,Fishing / Towing / Dredging,84,13,4.3,ID LAMONGAN
525018379,,,YCCW,70,Cargo,86,16,,
525019114,,SINAR HARAPAN-78,,,Unknown,,,,
525019607,,,YCJJ,90,Other,,,,
525019644,9147435,SUCCESSCHALLENGER37,YGXD,83,Tanker,,,8,TUBAN
525022028,9633381,PRAMESWARI 02,POFH,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,42,12,3.2,
525022259,,TB.BS ALLIANCE,,,Unknown,,,,
525022376,9688398,PETRO SUBAN,YBBJ2,99,Other,30,10,3.9,LAMONGAN-PAITON
525023136,8839756,KM BAHARI 20,POPG,37,Sailing / Pleasure / HSC,53,9,0,SPOREPEBGA
525023187,9043029,TERSUS BUMT,POKP,90,Other,327,58,21,
525024416,,TB CAPRICORN 80,,,Unknown,,,,
525025043,9458547,MERATUS BARITO,PMHF,0,Type 0,106,20,2.8,DPL LAMONGAN
525100095,,MEGAMAS SWEET,,,Unknown,,,,
525100350,9213179,KARAPAN ARMADA S III,YBQW2,89,Tanker,246,42,0,-FUL??UL
525100417,9828845,KMP LAKAAN,YBS12,60,Passenger,70,16,2.5,KLBHI
525100705,8793914,ICON EFESUS I 17,SSD,70,Cargo,98,16,3.6,DPL
525100954,,MEGA DAYA 27,,,Unknown,,,,
525101021,0,KN SAR ANTAREJA,,51,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,40,10,0,KUPANGANCH
525101067,9828273,KENDHAGA NUSANTARA 7,YCBN2,0,Type 0,74,17,3.4,KUPANG
525101104,9863601,KENDHAGA NUSANTARA11,YCJC2,70,Cargo,74,18,3.4,KUPANG
525101263,9910686,GARDA MARITIM 3,YCZX2,68,Passenger,60,14,2,BOLOK-KUPANG
525101668,9250921,DAYA ARMADA 01,YDBW2,80,Tanker,103,15,4.5,LAMONGAN
525107018,9220196,HARSANADI,YDXD2,80,Tanker,124,20,4.2,SGSIN (PEBGC)
525109016,9433860,CENDRAWASIH PARADISE,YDFE3,80,Tanker,128,20,5.2,BATAM ANCHOR
525113024,9875238,LUMOSO KASIH,YDAT2,70,Cargo,229,32,7.4,WAITING INSTRUCTION
525119061,9849681,KMSBUKNUSANTARA87,YCBP2,60,Passenger,,,2.4,KUPANG
525119148,9892729,TB BUANA ALPHA,YDB3158,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,21,7,25,SINGAPORE
525119201,9444120,KYLIE S,YDQY2,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,60,16,4.2,TADDAN PORT
525121027,9299599,SC OCEAN LXI,YDQW2,80,Tanker,243,42,8,"BTM,ID"
525125010,9821512,MERATUS LARANTUKA,YCGM2,70,Cargo,124,23,4.5,DPL LAMONGAN
525125027,9371892,MERATUS PMTSIANTAR,YDFW2,70,Cargo,117,20,6.8,ID KOE *_*
525200075,9855094,CAMARA NUSANTARA 6,YCDC2,71,Cargo,,,4.5,KUPANG
525200295,,,PMHN,70,Cargo,38,8,,
525300009,9015096,MV RYOKO 8,YCNI2,0,Type 0,120,,6.8,MAKASSAR
525301422,9168453,ELVIRA,YDLH2,80,Tanker,72,11,4.6,ID KUPANG
525400859,,,YDB3147,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,24,8,,
525500841,,,YB6249,70,Cargo,40,7,,
525501739,8541270,RADHIKA PANGESTU,YDBF3,70,Cargo,106,16,3,LAMONGAN
525501842,8529310,MV DEWI SAMUDERA XIX,SSD,70,Cargo,98,16,3.6,SURABAYA
525600143,,,YDB6951,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
525601262,0,KN.P 485,,99,Other,,,0,BRONDONG
525601594,1031642,TB AMADEUS 1,YDC3668,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,23,7,0,SINGAPORE
525601836,116678,TARAKASAMUDRA128,PMGF,80,Tanker,86,13,4.9,LAMONGAN
525750550,,,YD5133,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,10,6,,
525900792,9153941,STB  01,JZEG,70,Cargo,52,10,4,PEBGA SINGAPORE
525901349,9582594,CRUZ,YDCM4,80,Tanker,145,23,6.4,SG PWBGA
525901488,9341017,VINTARI,JVTL8,0,Type 0,71,12,3.8,ALAK_TENAU
533000313,8989082,SJ SATU,9MVE3,0,Type 0,70,12,3.3,PEBGC
533001910,,,9MDZ8,37,Sailing / Pleasure / HSC,32,6,,
533042300,9524657,ORKIM FORTUNE,9MHY7,80,Tanker,107,19,4.8,SG PEBGC
533048500,9546837,ORKIM LEADER,9MIS9,80,Tanker,106,19,4.8,SG-PWBGA
533056200,9564372,ORKIM CHALLENGER,9MLK9,80,Tanker,120,20,5.3,SIN_PEBGC
533057100,9564396,ORKIM DISCOVERY,9MLL9,80,Tanker,120,20,5.2,SPORE WBGA
533110274,,,,37,Sailing / Pleasure / HSC,15,6,,
533110592,,,9M2189,36,Sailing / Pleasure / HSC,11,6,,
533110699,,,9M2594,37,Sailing / Pleasure / HSC,19,5,,
533130184,9552240,BRIDGEWATER 63,9WNG7,90,Other,59,15,4,PANDAN SHIPYARD
533130658,9826885,LG ASPHALT 2,9MWS7,85,Tanker,99,18,4.9,PEBGC SGSIN
533130715,9745043,EXECUTIVEBENEVOLENCE,9MWJ7,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,78,19,4,AEW SINGAPORE
533130927,,TNT LEISURE,,,Unknown,,,,
533130968,,THE MAGGIE,,,Unknown,,,,
533131019,,,9MRV4,37,Sailing / Pleasure / HSC,25,7,,
533131134,,MOANA O AROHA,,,Unknown,,,,
533132115,9568043,ORKIM FORTITUDE,9M2503,80,Tanker,180,32,9.8,PEBGC SINGAPORE
533132391,9553945,PUSAKA GEMILANG,9M2715,80,Tanker,97,16,4.6,"PWBGA, SINGAPORE"
533132541,,,9M3041,36,Sailing / Pleasure / HSC,17,9,,
533132943,9956836,PAOLINA COSULICH,9WQA4,80,Tanker,113,20,5.6,PGBG
533133278,,,9M3791,37,Sailing / Pleasure / HSC,15,9,,
533133468,,NOMAD 101,,,Unknown,,,,
533133686,,ISLAND B,,,Unknown,,,,
533150117,0,MNF,SVB2878,37,Sailing / Pleasure / HSC,16,5,0,
533674000,9243291,DANUM 18,9MEM9,70,Cargo,84,22,4.2,SBW
538003566,9482665,SONGA HAWK,V7RQ8,80,Tanker,128,20,5.8,ASSPU
538004619,9539224,CRYSTAL ACE,V7YB2,70,Cargo,200,32,8.9,SG SIN PEBGA
538005060,9638563,NAVE ATROPOS,V7AS4,89,Tanker,228,32,12.9,SG SING PWBG A
538005092,9654555,ARDMORE ENTERPRISE,V7AY2,89,Tanker,183,32,9.2,SG SIN PGBG
538005523,9423645,LUOJIASHAN,V7ER9,80,Tanker,147,24,6.3,SGSIN PWBG A
538005650,9458834,UOG TINOS,V7FR7,80,Tanker,183,32,6.3,SG SIN PEBGB
538005658,9458858,UACC SHAMIYA,V7FU4,80,Tanker,183,32,7.8,SGSIN - PEBGB
538005806,9721891,SUNNY APATITE,V7HE3,80,Tanker,183,32,8,SGSIN PEBGB
538006076,9708576,STI SOLIDARITY,V7JN7,80,Tanker,250,44,9,SGSIN PEBGC
538006220,9710543,C FORCE,V7KR8,70,Cargo,229,32,11.1,PRM BR
538006507,9718832,KHASAB SILVER,V7NT9,80,Tanker,183,32,8.2,SG SIN PEBGC
538006869,9233272,SA HORIZON,V7AV7,89,Tanker,333,60,20,PTP MALAYSIA
538007095,9771341,FRONT DUCHESS,V7WO6,80,Tanker,333,60,11,SGP-PEBGB
538007483,9330719,HYUNDAI UNITY,V7PX6,70,Cargo,294,32,12,"JAKARTA,INDONESIA"
538007582,9406099,CLIPPER TARPON,V7VI2,70,Cargo,178,28,6.8,PEBGB
538007592,9392339,NORTHERN HIGHWAY,V7FT4,70,Cargo,188,28,7,SG SIN PEBGA
538007725,9255000,CAPE AMIRA,V7PB8,70,Cargo,289,45,17.9,SINGAPORE
538008334,9594133,LENI P.,V7A2248,80,Tanker,274,48,16.2,SG AEPA
538008694,9673824,NEFELI.GR,V7A2664,70,Cargo,229,32,13.5,SG SGP
538008858,9321201,VELOS SAPPHIRE,V7A2841,89,Tanker,227,32,7.2,PAX OCEAN
538008970,9452505,SEAGULL,V7A2959,70,Cargo,196,32,6.9,SGSIN
538009104,9889631,GREEN FUTURE,V7A4323,70,Cargo,120,21,7,SG_SIN
538009230,9718064,CL YINGDU,V7A4482,89,Tanker,183,32,11.9,SG SIN
538009232,9718088,CL XUNYANG,V7A4484,89,Tanker,183,32,11,SG SIN AWW
538009287,9440796,BALTIMORE STAR,V7A4547,70,Cargo,262,32,10.1,SGSIN PEBGA
538009333,9402940,PELAGIA,V7A4607,70,Cargo,225,32,7.7,SG_PEBGC
538009421,9617741,COMMON LUCK,V7A4709,70,Cargo,197,32,11.8,CNRZH
538009776,9079121,HERANGER,V7A5148,79,Cargo,214,31,12.6,SGSIN PEBGB
538009917,9877913,GIA GLORY,V7A5335,70,Cargo,227,36,13.5,SINGAPORE
538010335,9448712,PETITE SOEUR,V7A5905,80,Tanker,183,32,7.5,SINGAPORE
538010772,9989780,PETROBRAS 80,V7A7404,99,Other,349,60,0,
538010818,9313125,HAWKS PROGRESS,V7A7466,80,Tanker,147,22,6.8,SGSIN
