timestamp_utc,mmsi,ship_name,message_type,imo_number,call_sign,vessel_name,ship_type_code,dim_a,dim_b,dim_c,dim_d,length_m,beam_m,draught_m,destination,eta_month,eta_day,eta_hour,eta_minute
2026-04-07 06:36:04.568284143 +0000 UTC,563004120,,StaticDataReport,,9V5522,,52,0,0,0,0,,,,,,,,
2026-04-07 06:36:16.796075646 +0000 UTC,525024416,,StaticDataReport,,YDB4204,,52,4,22,4,4,26,8,,,,,,
2026-04-07 06:36:17.428118871 +0000 UTC,563254100,KOTA OASIS,ShipStaticData,9977866,9V9542,KOTA OASIS,70,80,180,28,18,260,46,10.2,SGSIN PEBGA,4,6,8,0
2026-04-07 06:36:22.783592018 +0000 UTC,525022028,PRAMESWARI 02,ShipStaticData,9633381,POFH,PRAMESWARI 02,52,3,39,4,8,42,12,3.2,,0,0,24,60
2026-04-07 06:36:26.737341414 +0000 UTC,312653000,BATAMINDO LEO,ShipStaticData,107727000,V3RV7,BATAMINDO LEO,70,69,30,8,8,99,16,3,SGSIN PEBGA,4,7,7,0
2026-04-07 06:36:28.280302591 +0000 UTC,232026709,VS REMLIN,ShipStaticData,9252307,MGYO8,VS REMLIN,81,135,36,13,14,171,27,8,SG PEBGC,4,2,9,0
2026-04-07 06:36:32.574989691 +0000 UTC,228468900,CMA CGM FORT JAMES,ShipStaticData,9966764,FNAC,CMA CGM FORT JAMES,79,111,157,22,22,268,44,13.5,SGSIN>IDJKT,4,6,23,0
2026-04-07 06:36:34.894358062 +0000 UTC,565133000,KOTA KAMIL,ShipStaticData,9307413,9VJK6,KOTA KAMIL,70,184,49,7,25,233,32,10.8,SGSIN,6,4,17,30
2026-04-07 06:36:37.437145594 +0000 UTC,566639000,TRINITY,ShipStaticData,9628805,9V9461,TRINITY,80,55,23,1,12,78,13,4.8,SENOKO-JETTY,3,1,16,0
2026-04-07 06:36:37.540342729 +0000 UTC,563084440,,StaticDataReport,,9V9166,,80,77,14,12,6,91,18,,,,,,
2026-04-07 06:36:40.400121884 +0000 UTC,477898700,OOCL YOKOHAMA,ShipStaticData,9329538,VRDB3,OOCL YOKOHAMA,71,198,62,7,25,260,32,12,SG SIN PEBGA,4,7,1,0
2026-04-07 06:36:40.419536047 +0000 UTC,563217300,HAFNIA PRECISION,ShipStaticData,9760213,9V7899,HAFNIA PRECISION,80,181,39,10,28,220,38,11.2,HORIZON OBH2>AEPA,4,7,9,0
2026-04-07 06:36:44.178989379 +0000 UTC,563040383,SC 1642 C,StaticDataReport,,,SC 1642 C,,0,0,0,0,,,,,,,,
2026-04-07 06:36:44.582351565 +0000 UTC,414877000,ZHONG GU CHENG DU,ShipStaticData,9933846,BPJK4,ZHONG GU CHENG DU,74,196,32,11,29,228,40,12.4,MY PKG,4,8,0,0
2026-04-07 06:36:45.620800365 +0000 UTC,533131134,MOANA O AROHA,StaticDataReport,,,MOANA O AROHA,,0,0,0,0,,,,,,,,
2026-04-07 06:36:46.252434484 +0000 UTC,305496000,SLOMAN THETIS,ShipStaticData,9306653,V2HJ9,SLOMAN THETIS,80,135,36,10,17,171,27,7,MYTPP,4,7,8,30
2026-04-07 06:36:47.866394076 +0000 UTC,314001139,ORYX,ShipStaticData,9250737,8PZY2,ORYX,80,224,45,23,23,269,46,9,EG SUZ,4,23,20,0
2026-04-07 06:36:48.917565517 +0000 UTC,565263000,HORIZON 9,ShipStaticData,9732113,9V2413,HORIZON 9,40,18,20,4,5,38,9,1.5,SINGAPORE HFC,4,13,5,10
2026-04-07 06:36:53.10140014 +0000 UTC,563087330,ATLANTIC ALBATROSS,StaticDataReport,,,ATLANTIC ALBATROSS,,0,0,0,0,,,,,,,,
2026-04-07 06:36:53.373618511 +0000 UTC,563029230,SYNERGY,ShipStaticData,9703954,9VFL5,SYNERGY,80,38,10,8,2,48,10,2.8,ASPP,12,8,12,0
2026-04-07 06:36:55.993663505 +0000 UTC,563067950,PRISM,ShipStaticData,9847360,9V8658,PRISM,0,34,10,5,4,44,9,3,ASSPU,4,6,23,21
2026-04-07 06:36:57.112550757 +0000 UTC,563026590,PANDUAN,ShipStaticData,9714549,9V2429,PANDUAN,53,15,20,5,5,35,10,2.3,SINGAPORE,12,15,12,0
2026-04-07 06:36:57.869523252 +0000 UTC,518100675,PROGRESS 10,ShipStaticData,9213208,E5U3586,PROGRESS 10,80,94,21,9,7,115,16,4.8,SINGAPORE,3,11,6,0
2026-04-07 06:36:58.950094591 +0000 UTC,457001254,EH GAJAH,StaticDataReport,,,EH GAJAH,,0,0,0,0,,,,,,,,
2026-04-07 06:36:59.109242905 +0000 UTC,311001237,ERREA WITTU,ShipStaticData,9989479,C6GG2,ERREA WITTU,99,318,21,9,55,339,64,0,,0,0,0,0
2026-04-07 06:37:00.567080482 +0000 UTC,525501739,RADHIKA PANGESTU,ShipStaticData,8541270,YDBF3,RADHIKA PANGESTU,70,88,18,8,8,106,16,3,LAMONGAN,2,26,1,0
2026-04-07 06:37:03.505964002 +0000 UTC,219502000,TORM EVOLVE,ShipStaticData,9577068,OZEG2,TORM EVOLVE,80,189,39,8,24,228,32,9.4,SIN_PEBGC,4,6,0,45
2026-04-07 06:37:06.576457303 +0000 UTC,566052000,ASL MERCURY,ShipStaticData,9504712,9V7431,ASL MERCURY,31,6,20,6,6,26,12,2.2,SINGAPORE,1,5,12,59
2026-04-07 06:37:09.963994388 +0000 UTC,563037800,LT BERYL,ShipStaticData,9824875,9V5432,LT BERYL,80,75,24,3,14,99,17,4.5,PEBG - C SG,4,4,10,0
2026-04-07 06:37:13.254802101 +0000 UTC,370835000,ACHIEVER_1,StaticDataReport,,,ACHIEVER_1,,0,0,0,0,,,,,,,,
2026-04-07 06:37:14.887149056 +0000 UTC,563063980,SKIP JACK,StaticDataReport,,,SKIP JACK,,0,0,0,0,,,,,,,,
2026-04-07 06:37:18.073939409 +0000 UTC,533130927,TNT LEISURE,StaticDataReport,,,TNT LEISURE,,0,0,0,0,,,,,,,,
2026-04-07 06:37:18.867161626 +0000 UTC,563086610,CSM HYDRA,ShipStaticData,1114884,9VEB7,CSM HYDRA,80,47,13,3,11,60,14,3.8,ASPP,4,7,14,20
2026-04-07 06:37:19.165409221 +0000 UTC,563105900,PSA MARVEL CS05,ShipStaticData,9869605,9V6482,PSA MARVEL CS05,52,14,18,4,8,32,12,5.4,SINGAPORE,3,2,3,0
2026-04-07 06:37:21.985254103 +0000 UTC,210761000,GRAND LADY,ShipStaticData,9406166,5BZW6,GRAND LADY,80,278,52,38,22,330,60,11,USCRP,4,14,14,0
2026-04-07 06:37:23.273972499 +0000 UTC,525022259,TB.BS ALLIANCE,StaticDataReport,,,TB.BS ALLIANCE,,0,0,0,0,,,,,,,,
2026-04-07 06:37:26.289031185 +0000 UTC,563074570,VISION 225,ShipStaticData,9903308,9V6996,VISION 225,52,10,14,2,6,24,8,0,,0,0,0,0
2026-04-07 06:37:32.600723898 +0000 UTC,440122000,JBU SAPPHIRE,ShipStaticData,9412725,D7FB,JBU SAPPHIRE,80,114,27,7,17,141,24,5.7,SG SIN EBGC,4,4,22,0
2026-04-07 06:37:33.55765561 +0000 UTC,564346000,HORIZON 6,ShipStaticData,9764609,9V3269,HORIZON 6,40,18,21,5,4,39,9,1.5,RFT,4,4,18,45
2026-04-07 06:37:39.483105146 +0000 UTC,538005060,NAVE ATROPOS,ShipStaticData,9638563,V7AS4,NAVE ATROPOS,89,194,34,23,9,228,32,12.9,SG SING PWBG A,4,6,2,0
2026-04-07 06:37:43.794613934 +0000 UTC,538009776,HERANGER,ShipStaticData,9079121,V7A5148,HERANGER,79,188,26,23,8,214,31,12.6,SGSIN PEBGB,4,7,3,15
2026-04-07 06:37:43.890625489 +0000 UTC,563019670,CLEANSEAS FERRY 2,ShipStaticData,0,9V9585,CLEANSEAS FERRY 2,60,8,7,3,2,15,5,0.9,,0,0,24,60
2026-04-07 06:37:45.052914107 +0000 UTC,525018215,MT.PETRO OCEAN XXVII,ShipStaticData,9054183,JZQY,MT.PETRO OCEAN XXVII,80,50,15,5,5,65,10,4,PACIRAN,4,2,7,0
2026-04-07 06:37:46.360814657 +0000 UTC,215137000,CMA CGM J.MADISON,ShipStaticData,9780897,9HA4975,CMA CGM J.MADISON,71,141,225,22,26,366,48,10.2,SGSIN,4,10,9,30
2026-04-07 06:37:46.867010456 +0000 UTC,563009180,NOBLE ACE TG41,ShipStaticData,9386067,9V7023,NOBLE ACE TG41,90,0,0,0,0,,,4.2,VARIABLE,4,28,20,30
2026-04-07 06:37:50.509799078 +0000 UTC,525601836,TARAKASAMUDRA128,ShipStaticData,116678,PMGF,TARAKASAMUDRA128,80,79,7,6,7,86,13,4.9,LAMONGAN,4,1,1,30
2026-04-07 06:37:52.785159891 +0000 UTC,538007483,HYUNDAI UNITY,ShipStaticData,9330719,V7PX6,HYUNDAI UNITY,70,218,76,25,7,294,32,12,"JAKARTA,INDONESIA",4,9,2,0
2026-04-07 06:37:54.653614902 +0000 UTC,636018934,DELTA APOLLONIA,ShipStaticData,9516935,D5SC3,DELTA APOLLONIA,80,277,56,28,32,333,60,11.5,SINGAPORE PEBGC,4,7,6,0
2026-04-07 06:37:55.958675029 +0000 UTC,566639000,TRINITY,ShipStaticData,9628805,9V9461,TRINITY,80,55,23,1,12,78,13,4.8,SENOKO-JETTY,3,1,16,0
2026-04-07 06:37:57.537476354 +0000 UTC,563026590,PANDUAN,ShipStaticData,9714549,9V2429,PANDUAN,53,15,20,5,5,35,10,2.3,SINGAPORE,12,15,12,0
2026-04-07 06:37:57.664775554 +0000 UTC,636022920,MSC MARIELLA,ShipStaticData,9934747,5LLB6,MSC MARIELLA,74,115,284,37,24,399,61,15.9,SGSIN_PWBGB,4,7,7,0
2026-04-07 06:37:57.805196483 +0000 UTC,563084430,WALL E,StaticDataReport,,,WALL E,,0,0,0,0,,,,,,,,
2026-04-07 06:38:02.842960918 +0000 UTC,533048500,ORKIM LEADER,ShipStaticData,9546837,9MIS9,ORKIM LEADER,80,90,16,8,11,106,19,4.8,SG-PWBGA,4,3,22,0
2026-04-07 06:38:04.36123104 +0000 UTC,572740210,JUPITER,ShipStaticData,9185487,T2SC4,JUPITER,80,151,31,16,16,182,32,8.6,BINTULU,4,9,13,45
2026-04-07 06:38:04.545814801 +0000 UTC,241640000,DESERT DIGNITY,ShipStaticData,9791901,SVDC8,DESERT DIGNITY,70,171,28,10,22,199,32,13.6,SG SIN,4,7,6,0
2026-04-07 06:38:06.601587311 +0000 UTC,563336000,HY JADE,ShipStaticData,9678654,9V9644,HY JADE,80,30,13,7,5,43,12,3.5,AESPA,8,10,4,0
2026-04-07 06:38:08.887862308 +0000 UTC,563265000,KOTA LESTARI,ShipStaticData,9628348,9V2116,KOTA LESTARI,70,196,70,10,22,266,32,8.5,CNSHA,4,15,17,0
2026-04-07 06:38:09.080009611 +0000 UTC,563323700,MAJESTIC SERENITY,ShipStaticData,1119418,9VMP8,MAJESTIC SERENITY,40,10,29,2,8,39,10,2,HFC,4,7,10,25
2026-04-07 06:38:11.202341338 +0000 UTC,563246900,ZOEY,ShipStaticData,1059395,9V9828,ZOEY,80,45,30,6,6,75,12,4.4,AEW,4,7,16,30
2026-04-07 06:38:13.184614863 +0000 UTC,563039300,NEW HORIZON,ShipStaticData,9816024,9V5465,NEW HORIZON,2,82,23,10,6,105,16,4.3,SG EPBG C,4,4,8,15
2026-04-07 06:38:13.542064058 +0000 UTC,525100954,,StaticDataReport,,YDA3978,,52,5,16,3,4,21,7,,,,,,
2026-04-07 06:38:16.200488527 +0000 UTC,563066540,PSA CAPELLA YS51,ShipStaticData,9830202,9V5831,PSA CAPELLA YS51,52,12,15,7,5,27,12,0,,0,0,24,60
2026-04-07 06:38:17.640172914 +0000 UTC,311001237,ERREA WITTU,ShipStaticData,9989479,C6GG2,ERREA WITTU,99,318,21,9,55,339,64,0,,0,0,0,0
2026-04-07 06:38:20.467216975 +0000 UTC,352001246,REGINA ISLAND,ShipStaticData,9911989,3E3995,REGINA ISLAND,70,152,30,20,10,182,30,9.5,MY LGK,4,8,20,0
2026-04-07 06:38:20.511644722 +0000 UTC,525004108,KMP.SIGINJAI,ShipStaticData,8661159,PODM,KMP.SIGINJAI,60,10,10,10,10,20,20,2.1,KARIMUNJAWA,3,14,6,42
2026-04-07 06:38:20.581606684 +0000 UTC,538006220,C FORCE,ShipStaticData,9710543,V7KR8,C FORCE,70,197,32,22,10,229,32,11.1,PRM BR,5,5,17,0
2026-04-07 06:38:23.146313944 +0000 UTC,565133000,KOTA KAMIL,ShipStaticData,9307413,9VJK6,KOTA KAMIL,70,184,49,7,25,233,32,10.8,SGSIN,6,4,17,30
2026-04-07 06:38:23.934644352 +0000 UTC,373843000,EVER GALLANT,ShipStaticData,9624328,3EUN3,EVER GALLANT,70,146,24,10,17,170,27,9.8,SGJUR PEBGA,4,5,23,0
2026-04-07 06:38:27.080608717 +0000 UTC,412379040,YUN XIANG 61,ShipStaticData,1120912,BQJN9,YUN XIANG 61,80,94,21,4,13,115,17,6.8,SINGAPORE,4,5,22,0
2026-04-07 06:38:28.147636188 +0000 UTC,215141000,CMA CGM CORAL,ShipStaticData,9350393,9HA4979,CMA CGM CORAL,73,216,66,8,24,282,32,13.1,CNNSA,4,12,8,0
2026-04-07 06:38:29.720424618 +0000 UTC,636019927,NORD VALKYRIE,ShipStaticData,9893773,D5WV2,NORD VALKYRIE,80,148,35,24,8,183,32,10.1,SGSIN ANCH,4,2,9,0
2026-04-07 06:38:29.881065793 +0000 UTC,352004801,FENG HAI 98,ShipStaticData,1090533,3E7041,FENG HAI 98,70,142,17,17,6,159,23,5.6,TH LCH,4,11,10,0
2026-04-07 06:38:32.492547624 +0000 UTC,563258400,MAJESTIC BOLD,ShipStaticData,1073133,9VBV9,MAJESTIC BOLD,40,30,9,2,8,39,10,0,HARBOUR FRONT,4,7,8,40
2026-04-07 06:38:33.485879181 +0000 UTC,563044940,SC3908C,StaticDataReport,,,SC3908C,,0,0,0,0,,,,,,,,
2026-04-07 06:38:35.857984296 +0000 UTC,533042300,ORKIM FORTUNE,ShipStaticData,9524657,9MHY7,ORKIM FORTUNE,80,90,17,10,9,107,19,4.8,SG PEBGC,4,1,8,0
2026-04-07 06:38:36.4911863 +0000 UTC,413219610,KANG HUAN,ShipStaticData,9277644,BOCA8,KANG HUAN,70,161,29,10,22,190,32,10.6,SINGAPORE PEBGC,4,7,5,0
2026-04-07 06:38:38.047496993 +0000 UTC,525501842,MV DEWI SAMUDERA XIX,ShipStaticData,8529310,SSD,MV DEWI SAMUDERA XIX,70,90,8,8,8,98,16,3.6,SURABAYA,7,4,16,30
2026-04-07 06:38:38.388447991 +0000 UTC,525119148,TB BUANA ALPHA,ShipStaticData,9892729,YDB3158,TB BUANA ALPHA,52,5,16,3,4,21,7,25,SINGAPORE,0,0,0,0
2026-04-07 06:38:39.345630352 +0000 UTC,538005060,NAVE ATROPOS,ShipStaticData,9638563,V7AS4,NAVE ATROPOS,89,194,34,23,9,228,32,12.9,SG SING PWBG A,4,6,2,0
2026-04-07 06:38:41.318747865 +0000 UTC,352004745,NORSE SEQUEL,ShipStaticData,1024443,3E6997,NORSE SEQUEL,70,170,29,20,12,199,32,13.6,SG SIN (PEBG-B),4,7,8,45
2026-04-07 06:38:41.491492654 +0000 UTC,566842000,HUMBER,ShipStaticData,9680279,9V2030,HUMBER,80,73,17,3,13,90,16,5.4,ASPP,4,7,13,30
2026-04-07 06:38:41.927751451 +0000 UTC,352001488,SENTOSA 66,ShipStaticData,9230141,3E2505,SENTOSA 66,70,193,32,14,18,225,32,13.4,SG PEBGB,4,7,15,0
2026-04-07 06:38:43.383614551 +0000 UTC,563040267,KM 33,StaticDataReport,,,KM 33,,0,0,0,0,,,,,,,,
2026-04-07 06:38:43.820072513 +0000 UTC,525200295,JATIM,StaticDataReport,,,JATIM,,0,0,0,0,,,,,,,,
2026-04-07 06:38:46.312064901 +0000 UTC,566480000,KOSMOS CITRINE,ShipStaticData,9650509,9V9842,KOSMOS CITRINE,80,80,25,8,10,105,18,6.8,AEPBB,4,7,8,0
2026-04-07 06:38:47.184840197 +0000 UTC,566065000,GOLDEN ARANDA,ShipStaticData,9601211,9V8557,GOLDEN ARANDA,80,54,15,2,11,69,13,4.8,ASPP,4,7,15,55
2026-04-07 06:38:47.77130542 +0000 UTC,352006233,HMM SAGE,ShipStaticData,9998509,HOA2652,HMM SAGE,71,117,157,29,17,274,46,14.4,CNSHK>SGSIN,4,7,5,15
2026-04-07 06:38:50.378830805 +0000 UTC,553112025,KIMBE CHIEF,ShipStaticData,9362580,P2V5830,KIMBE CHIEF,70,76,10,6,6,86,12,3.5,PG LAE,4,20,6,0
2026-04-07 06:38:52.19664353 +0000 UTC,431013000,CASSIOPEIA LEADER,ShipStaticData,9182277,7JZI,CASSIOPEIA LEADER,70,18,182,21,11,200,32,8,ID JKT,4,7,1,0
2026-04-07 06:38:52.660161486 +0000 UTC,525018301,TSHD KING RICHARD 8,ShipStaticData,7382146,JZOQ,TSHD KING RICHARD 8,33,70,14,6,7,84,13,4.3,ID LAMONGAN,1,15,6,0
2026-04-07 06:38:54.681450592 +0000 UTC,205744000,VASCO DA GAMA,ShipStaticData,9187473,ORST,VASCO DA GAMA,33,36,165,22,14,201,36,14.6,SGSIN APTE2 - APTM2,10,9,20,30
2026-04-07 06:38:55.453201478 +0000 UTC,525004994,KM.PUTRI AYU 2,StaticDataReport,,,KM.PUTRI AYU 2,,0,0,0,0,,,,,,,,
2026-04-07 06:38:57.45137319 +0000 UTC,636025620,SHAFALLAH,ShipStaticData,9986116,5LYI4,SHAFALLAH,80,234,61,24,23,295,47,9.5,SGSIN PGBG,4,7,5,0
2026-04-07 06:38:58.065529415 +0000 UTC,563002840,WAVEMASTER 5,ShipStaticData,9257888,9V6136,WAVEMASTER 5,40,100,0,15,15,,30,2.1,SINGAPORE,4,7,8,30
2026-04-07 06:39:00.485209785 +0000 UTC,538003566,SONGA HAWK,ShipStaticData,9482665,V7RQ8,SONGA HAWK,80,110,18,10,10,128,20,5.8,ASSPU,4,7,13,30
2026-04-07 06:39:05.360710419 +0000 UTC,412493000,YUN QUE ZUO,ShipStaticData,9487172,BQJV7,YUN QUE ZUO,80,204,41,33,9,245,42,15.2,AEBC,4,4,9,30
2026-04-07 06:39:05.694134976 +0000 UTC,538012042,AZAMARA ONWARD,ShipStaticData,9187887,V7A3883,AZAMARA ONWARD,60,23,158,20,6,181,26,5.9,SGSIN,4,7,23,30
2026-04-07 06:39:09.08720904 +0000 UTC,636022036,MONICA,ShipStaticData,9971006,5LGW5,MONICA,70,132,40,20,7,172,27,10,PEBGA,4,6,22,0
2026-04-07 06:39:10.788858062 +0000 UTC,563869000,SINDO PRINCESS,ShipStaticData,9070888,9V3893,SINDO PRINCESS,60,15,13,3,4,28,7,1,SKP,4,7,15,25
2026-04-07 06:39:17.29452185 +0000 UTC,563186900,SRIWANGI II,ShipStaticData,9313096,9V8824,SRIWANGI II,89,116,31,19,4,147,23,6.4,PEBGC,4,4,9,0
2026-04-07 06:39:18.468099668 +0000 UTC,563085870,CSM VIPER,ShipStaticData,1092385,9VAV8,CSM VIPER,80,47,13,10,4,60,14,4.1,ASSPU,1,17,8,30
2026-04-07 06:39:18.891708952 +0000 UTC,563026590,PANDUAN,ShipStaticData,9714549,9V2429,PANDUAN,53,15,20,5,5,35,10,2.3,SINGAPORE,12,15,12,0
2026-04-07 06:39:19.814925362 +0000 UTC,563077510,MAJULAH 11,StaticDataReport,,,MAJULAH 11,,0,0,0,0,,,,,,,,
2026-04-07 06:39:20.485540003 +0000 UTC,636025995,DOKOS,ShipStaticData,9318072,A8BY2,DOKOS,80,229,45,31,17,274,48,10.4,SG AEPA,4,7,2,30
2026-04-07 06:39:24.84469663 +0000 UTC,563081360,MAZU 05,StaticDataReport,,,MAZU 05,,0,0,0,0,,,,,,,,
2026-04-07 06:39:25.107091545 +0000 UTC,525100350,KARAPAN ARMADA S III,ShipStaticData,9213179,YBQW2,KARAPAN ARMADA S III,89,210,36,10,32,246,42,0,-FUL??UL,0,0,24,0
2026-04-07 06:39:29.149990409 +0000 UTC,563085480,WANDERING ALBATROSS,StaticDataReport,,,WANDERING ALBATROSS,,0,0,0,0,,,,,,,,
2026-04-07 06:39:29.192091004 +0000 UTC,636017971,HALLEY,ShipStaticData,9275062,A8EG9,HALLEY,74,15,194,15,15,209,30,9.1,SGSIN PWBGA,4,7,2,30
2026-04-07 06:39:29.757940635 +0000 UTC,457404000,SEA DRAGON 8,StaticDataReport,,,SEA DRAGON 8,,0,0,0,0,,,,,,,,
2026-04-07 06:39:31.012389703 +0000 UTC,563034750,,StaticDataReport,,9V3044,,80,8,22,3,3,30,6,,,,,,
2026-04-07 06:39:31.94107472 +0000 UTC,525018042,TB SABANG 51,StaticDataReport,,,TB SABANG 51,,0,0,0,0,,,,,,,,
2026-04-07 06:39:32.506631629 +0000 UTC,563092000,COMO,ShipStaticData,9532329,9V7669,COMO,89,77,12,10,5,89,15,4.8,OMU#06,4,7,13,0
2026-04-07 06:39:34.201196514 +0000 UTC,354331000,HOUYOSHI EXPRESS II,ShipStaticData,9596258,3FDM5,HOUYOSHI EXPRESS II,80,148,35,10,22,183,32,8,SG PGBG,4,7,7,0
2026-04-07 06:39:34.576324336 +0000 UTC,357225000,MERCURY 5,ShipStaticData,9245938,HO2400,MERCURY 5,52,8,24,7,2,32,9,4.7,SINGAPORE A.W.W.,3,10,11,0
2026-04-07 06:39:35.819023851 +0000 UTC,311001237,ERREA WITTU,ShipStaticData,9989479,C6GG2,ERREA WITTU,99,318,21,9,55,339,64,0,,0,0,0,0
2026-04-07 06:39:38.86514028 +0000 UTC,566500000,BATAM FAST19,ShipStaticData,9103946,9V9612,BATAM FAST19,60,0,0,0,0,,,0.9,BTM SGP,4,7,19,30
2026-04-07 06:39:39.453787684 +0000 UTC,564966000,HAFNIA PANTHER,ShipStaticData,9694464,9V2552,HAFNIA PANTHER,80,149,34,6,26,183,32,10.5,SG AWPB,6,3,12,0
2026-04-07 06:39:43.676226714 +0000 UTC,311009200,GULF BAYNUNAH,ShipStaticData,9381562,C6XG8,GULF BAYNUNAH,80,149,34,10,22,183,32,7.5,SG SIN AWW,4,7,7,0
2026-04-07 06:39:44.12002062 +0000 UTC,636024881,BOUBOULINA,ShipStaticData,9298753,5LUT2,BOUBOULINA,80,231,43,31,19,274,50,9.5,"SG PEBG""B""",4,4,6,0
2026-04-07 06:39:44.333416699 +0000 UTC,564892000,SEA UNITY,ShipStaticData,9561411,9V8082,SEA UNITY,80,90,17,5,12,107,17,7.8,ARP,4,6,18,0
2026-04-07 06:39:44.51844775 +0000 UTC,565282000,THAMES,ShipStaticData,9554286,9V7701,THAMES,80,86,29,9,8,115,17,7.6,AEPB/C,4,6,23,59
2026-04-07 06:39:49.052988811 +0000 UTC,538005092,ARDMORE ENTERPRISE,ShipStaticData,9654555,V7AY2,ARDMORE ENTERPRISE,89,150,33,10,22,183,32,9.2,SG SIN PGBG,4,7,2,0
2026-04-07 06:39:54.707675953 +0000 UTC,563038800,MARINE TINA,ShipStaticData,9813424,9V5352,MARINE TINA,86,75,14,5,13,89,18,7.3,TANJUNG PELEPAS,4,8,1,0
2026-04-07 06:39:54.946082902 +0000 UTC,432634000,ENERGY NAVIGATOR,ShipStaticData,9355264,7JCK,ENERGY NAVIGATOR,80,233,56,32,17,289,49,9.7,SG SIN PGBG,4,5,22,0
2026-04-07 06:39:55.130695763 +0000 UTC,563275700,MARINA AMETHYST,ShipStaticData,1065734,9V5066,MARINA AMETHYST,52,10,22,5,8,32,13,0,SINGAPORE,12,9,0,30
2026-04-07 06:39:55.711090448 +0000 UTC,431115000,GRACE BARLERIA,ShipStaticData,9315719,7JZY,GRACE BARLERIA,80,221,67,13,31,288,44,9.1,SGSIN PGBG,4,2,3,0
2026-04-07 06:39:56.944633105 +0000 UTC,563321500,MAERSK CRETE,ShipStaticData,9786190,S6UP2,MAERSK CRETE,89,146,37,23,9,183,32,10,AWQI ANCHORAGE,4,3,6,0
2026-04-07 06:39:57.403952695 +0000 UTC,525025043,MERATUS BARITO,ShipStaticData,9458547,PMHF,MERATUS BARITO,0,10,96,10,10,106,20,2.8,DPL LAMONGAN,4,5,8,34
2026-04-07 06:40:00.61517846 +0000 UTC,563248400,PEARL LEGO,ShipStaticData,1015703,9V9847,PEARL LEGO,80,82,22,5,14,104,19,7,SGP,4,6,16,0
2026-04-07 06:40:04.631235477 +0000 UTC,311001751,FRIO POSEIDON,ShipStaticData,8807662,C6IR7,FRIO POSEIDON,70,135,13,15,5,148,20,9.1,SINGAPORE,4,6,23,0
2026-04-07 06:40:04.646713562 +0000 UTC,311000639,SONANGOL MAIOMBE,ShipStaticData,9766322,C6DC7,SONANGOL MAIOMBE,80,227,47,28,20,274,48,11.9,SGSIN,4,5,3,10
2026-04-07 06:40:05.27340346 +0000 UTC,525019644,SUCCESSCHALLENGER37,ShipStaticData,9147435,YGXD,SUCCESSCHALLENGER37,83,0,0,0,0,,,8,TUBAN,12,8,5,0
2026-04-07 06:40:05.322000533 +0000 UTC,533131019,VICKY,StaticDataReport,,,VICKY,,0,0,0,0,,,,,,,,
